"regiao","produto","valor","qtd","mes"
"oeste","acucar",169.42,7,6
"norte","farinha",16.44,8,4
"oeste","cha",174.34,3,9
"sul","cafe",115.59,6,2
"norte","cha",120.98,2,1
"oeste","cha",17.88,1,1
"sul","cha",92.6,4,3
"norte","farinha",168.82,8,8
"sul","cafe",182.01,9,2
"oeste","farinha",179.18,1,6
"norte","farinha",104.55,6,9
"leste","farinha",99.68,8,9
"leste","acucar",186.53,4,3
"oeste","cha",71.39,9,10
"sul","cafe",85.84,8,9
"leste","cafe",180.59,6,8
"oeste","cafe",26.48,2,9
"norte","cha",30.71,2,11
"leste","cafe",188.93,6,5
"oeste","acucar",44.36,3,11
"norte","cha",19,7,11
"sul","acucar",186.99,3,9
"leste","cha",168.16,6,7
"norte","farinha",164.06,5,11
"norte","acucar",190.39,7,3
"oeste","farinha",68.19,3,4
"norte","cafe",157.24,4,12
"norte","acucar",86.59,6,9
"sul","cafe",163.52,6,8
"norte","cha",59.27,2,4
"leste","farinha",193.82,7,7
"sul","cha",53.07,4,3
"oeste","cha",181.55,6,1
"sul","acucar",169.29,4,10
"leste","cafe",42.68,2,11
"norte","cafe",47.87,6,5
"norte","farinha",56.98,8,5
"oeste","acucar",9.5,2,10
"leste","cafe",98,4,11
"oeste","cha",40.41,9,3
"oeste","cha",84.15,3,12
"leste","farinha",60.9,7,4
"sul","farinha",99.18,6,2
"norte","farinha",26.77,8,8
"leste","farinha",127.28,7,3
"oeste","farinha",11.7,3,5
"norte","cha",56.08,9,1
"sul","cafe",72.22,1,5
"leste","cafe",32.32,3,7
"leste","cha",196.67,5,12
"norte","farinha",143.79,1,5
"sul","farinha",184.69,8,8
"sul","farinha",49.47,3,1
"norte","acucar",144.21,5,5
"norte","farinha",76.09,3,8
"oeste","cha",32.26,5,8
"oeste","cha",25.7,2,4
"leste","acucar",38.75,8,10
"oeste","cha",40.99,9,2
"leste","cafe",83.69,8,5
"norte","cafe",28.33,2,9
"leste","farinha",172.92,2,6
"oeste","cafe",149.65,3,2
"leste","cafe",143.78,3,6
"leste","farinha",52.85,4,10
"oeste","acucar",7.88,6,5
"norte","farinha",78.46,1,1
"sul","cafe",162.92,2,6
"oeste","cafe",119.94,1,9
"sul","cha",161.05,7,9
"leste","cha",74.36,8,2
"norte","cha",98.49,2,11
"oeste","cafe",59.34,1,9
"sul","cha",52.79,4,5
"leste","cha",158.53,5,8
"leste","farinha",11.43,9,11
"norte","cafe",119.69,4,10
"sul","farinha",124.23,1,11
"sul","farinha",182.15,9,8
"oeste","farinha",7.37,7,11
"norte","farinha",50.3,8,1
"oeste","acucar",154.88,7,4
"sul","cha",32.58,9,6
"sul","cha",113.8,6,4
"norte","cha",52.19,5,10
"oeste","farinha",55.32,9,6
"norte","acucar",198.36,1,1
"oeste","acucar",61.03,6,7
"oeste","cha",44.47,7,12
"leste","cafe",128.07,2,8
"oeste","cha",176.12,8,6
"leste","cafe",104.99,5,10
"sul","farinha",167.98,2,7
"sul","cha",178.93,6,9
"leste","cafe",22.65,4,6
"sul","cafe",106.89,2,4
"oeste","acucar",98.66,3,7
"sul","cafe",91.23,5,1
"oeste","cha",36.41,9,2
"leste","acucar",58.98,1,11
"oeste","cafe",162.36,1,10
"norte","cafe",25.22,4,1
"sul","cha",42.16,7,10
"sul","cha",53.19,9,2
"norte","acucar",5.51,5,3
"norte","acucar",89.84,3,4
"sul","farinha",65.16,4,7
"oeste","cafe",69.45,2,1
"norte","farinha",100.12,6,4
"oeste","cafe",59.87,7,10
"sul","cafe",96.72,8,1
"sul","cafe",188.9,4,1
"sul","cafe",154.62,8,10
"leste","cha",187.97,7,10
"leste","cafe",71,5,2
"leste","cafe",153,2,2
"leste","cha",167.27,7,6
"sul","cafe",97.54,3,10
"sul","farinha",151.67,2,12
"sul","cafe",49.74,7,2
"sul","cafe",188.36,2,6
"leste","cafe",34.36,7,5
"leste","cha",87.63,6,8
"norte","acucar",79.8,2,12
"sul","farinha",104.84,9,10
"sul","farinha",19.53,3,3
"leste","acucar",199.56,8,7
"sul","cafe",100.38,7,6
"leste","cafe",176.8,2,1
"leste","cha",188.45,4,9
"leste","cha",57.12,7,8
"leste","cafe",36.36,7,1
"norte","cha",159.2,5,3
"leste","farinha",102.83,5,9
"norte","cafe",169.82,6,1
"leste","farinha",99.02,6,11
"leste","acucar",106.37,9,1
"leste","cha",52.88,5,5
"oeste","farinha",140.53,3,1
"norte","cha",92.4,1,6
"norte","farinha",35.89,8,7
"norte","acucar",114.52,6,9
"sul","cha",89.04,9,12
"leste","farinha",180.36,1,5
"sul","farinha",136.85,2,6
"leste","cha",171.52,1,9
"leste","cafe",134.59,5,11
"norte","farinha",74.24,4,2
"sul","farinha",70.4,2,10
"leste","farinha",94.49,7,4
"leste","cafe",196.16,4,12
"norte","cafe",198.78,4,10
"leste","farinha",170.65,9,9
"norte","cha",47.61,8,7
"sul","farinha",192.44,5,9
"norte","farinha",156.24,1,3
"oeste","acucar",135.94,8,11
"leste","cha",104.25,9,6
"sul","acucar",104.36,1,7
"oeste","acucar",14.65,5,7
"norte","cafe",64.8,4,7
"oeste","farinha",41.46,8,11
"norte","farinha",108.35,6,12
"oeste","cha",57.94,9,12
"oeste","cha",41.02,9,8
"leste","cafe",86.05,9,4
"sul","cafe",88.79,8,7
"oeste","cafe",186.23,3,11
"oeste","farinha",23.7,7,12
"leste","cha",137.51,5,2
"oeste","cafe",37.36,3,1
"leste","cafe",193.27,1,11
"norte","acucar",10.94,2,2
"norte","acucar",194.69,5,8
"sul","cafe",151.54,8,1
"norte","acucar",62.51,2,10
"oeste","cafe",131.77,7,9
"norte","cha",73.18,7,7
"leste","acucar",169.6,6,12
"leste","cafe",42.91,9,12
"oeste","farinha",26.1,7,4
"leste","cafe",72.05,7,7
"norte","farinha",131.47,5,3
"norte","cha",146.45,8,8
"oeste","cafe",137.89,6,4
"norte","cha",108.86,4,6
"oeste","cha",49.25,3,1
"oeste","acucar",127.79,6,11
"leste","cafe",105.68,3,7
"norte","farinha",67.85,2,5
"oeste","acucar",60.72,5,6
"norte","farinha",129.84,9,11
"oeste","cha",5.96,6,8
"oeste","acucar",64.09,4,2
"norte","farinha",61.34,3,7
"oeste","cafe",145.69,1,4
"leste","cafe",180.47,7,9
"oeste","farinha",189.73,4,3
"sul","acucar",64.43,3,5
"sul","cafe",136.03,7,9
"sul","cha",71.49,9,12
"leste","cha",179.59,9,4
"oeste","acucar",133.32,3,7
"norte","cafe",60.12,9,5
"sul","acucar",149.11,4,2
"norte","cafe",126.69,3,12
"norte","cafe",36.76,2,6
"norte","cha",7.8,1,11
"sul","farinha",54.8,3,4
"norte","cafe",198.28,4,4
"norte","cafe",89.44,5,7
"oeste","cafe",167.94,9,10
"norte","cha",71.18,2,9
"oeste","cafe",147.46,1,11
"oeste","cha",59.11,4,9
"sul","cafe",78.37,6,10
"norte","cafe",176.29,3,1
"oeste","farinha",120.31,2,12
"norte","cha",123.69,4,5
"norte","farinha",196.3,1,4
"oeste","cha",65.45,3,12
"oeste","cafe",149.89,2,11
"norte","farinha",166.87,7,9
"leste","farinha",99.59,8,10
"norte","farinha",26,2,8
"sul","cha",51.79,1,8
"leste","cha",132.38,9,5
