"amostra_solo_id","talhao_id","data_coleta","profundidade_cm","pH","materia_organica_g_kg","carbono_g_kg","nitrogenio_g_kg","fosforo_mg_dm3","potassio_mg_dm3","calcio_cmolc_dm3","magnesio_cmolc_dm3","ctc_cmolc_dm3","areia_pct","silte_pct","argila_pct","densidade_g_cm3","infiltracao_mm_h","umidade_gravimetrica_pct"
"S2025_T10_01","T10",2025-09-15,"0_20",5.44,29.3,17.1,1.09,10.3,150,2.05,0.27,6.59,47.9,27.5,24.7,1.36,14.2,9.1
"S2025_T11_01","T11",2025-09-15,"0_20",4.99,29.3,18,1.23,15.7,111,2.47,0.72,6.9,43.7,26.5,29.8,1.28,16.7,14.2
"S2025_T12_01","T12",2025-09-15,"0_20",5.2,25.7,14.8,1.14,13.1,109,2.09,0.93,5.93,40.6,29.2,30.2,1.44,7,12.7
"S2025_T13_01","T13",2025-09-15,"0_20",5.65,34.8,18.3,1.35,13.6,102,2.99,1.16,8.45,22.7,29.9,47.4,1.26,19.8,16.9
"S2025_T14_01","T14",2025-09-15,"0_20",5.45,32.9,18.3,1.27,15.6,108,2.6,0.84,7.84,25.2,28.1,46.7,1.25,21.7,18.6
"S2025_T15_01","T15",2025-09-15,"0_20",5.66,31.6,16.7,1.4,14.7,122,3.35,0.68,8.06,25,27.4,47.6,1.24,19.7,18.7
"S2025_T16_01","T16",2025-09-15,"0_20",5.7,32.4,18.3,1.29,15.3,113,2.14,0.7,7.53,24,27,49,1.28,21,18.9
"S2025_T17_01","T17",2025-09-15,"0_20",5.43,36.5,20.8,1.31,14.3,107,2.8,1.14,7.68,24.8,27.4,47.8,1.18,25.4,16.9
"S2025_T18_01","T18",2025-09-15,"0_20",5.57,30.7,17.1,1.48,4.7,126,2.45,0.91,7.52,23.3,29.3,47.4,1.23,16.5,21.4
"S2025_T19_01","T19",2025-09-15,"0_20",5.51,32.5,18.9,1.4,13.5,121,2.3,1.06,8.21,26.2,26.5,47.3,1.26,23.3,17.4
"S2025_T20_01","T20",2025-09-15,"0_20",5.7,38.3,19.6,1.2,13.3,124,3.08,0.79,7.75,24.8,23.8,51.4,1.26,21.3,20.7
"S2025_T21_01","T21",2025-09-15,"0_20",5.68,34.1,20.2,1.22,12.8,120,2.96,1.01,8.8,25.9,29.4,44.7,1.2,24.1,16.5
"S2025_T22_01","T22",2025-09-15,"0_20",5.55,31.8,18.8,1.2,5.8,130,2.56,0.76,7.09,19.8,29.7,50.5,1.23,25.4,18.7
"S2025_T23_01","T23",2025-09-15,"0_20",5.5,35.3,22.7,1.57,17.3,88,2.67,0.91,7.84,30.4,26.6,42.9,1.16,27.5,18.5
"S2025_T24_01","T24",2025-09-15,"0_20",5.01,32.9,19,1.16,21.4,143,2.42,0.99,7.82,26.9,24.6,48.4,1.28,22.4,20.5
"S2025_T25_01","T25",2025-09-15,"0_20",5.94,43.3,23.6,1.68,15.5,110,2.89,1.17,9.07,33.2,28.2,38.5,1.12,34.5,27
"S2025_T26_01","T26",2025-09-15,"0_20",5.9,45.1,25.9,1.74,12.8,131,4.01,1.2,8.83,26.3,28.4,45.3,1.12,35.2,27
"S2025_T27_01","T27",2025-09-15,"0_20",5.62,39.5,24.1,2.15,15.3,120,3.42,1.24,8.88,36.9,27.5,35.6,1.21,33.1,25.1
"S2025_T28_01","T28",2025-09-15,"0_20",5.77,41.4,22.3,1.48,13.1,148,3.05,0.97,9.07,32.9,26.4,40.7,1.18,34,21.9
"S2025_T29_01","T29",2025-09-15,"0_20",5.79,39.8,24,1.94,12.7,131,3.13,1.3,8.36,40.6,25.3,34.2,1.14,34.1,27.2
"S2025_T30_01","T30",2025-09-15,"0_20",5.83,32.5,20.1,1.31,3.4,149,2.89,1.19,7.73,39.9,25.8,34.3,1.25,19.8,24.3
"S2025_T31_01","T31",2025-09-15,"0_20",5.98,36.7,24.7,1.75,14.9,131,2.89,1.25,8.38,31.5,31.7,36.8,1.19,33.8,25
"S2025_T32_01","T32",2025-09-15,"0_20",5.95,40.1,23.8,1.69,12.2,155,3.46,1.1,9.38,32.7,28.1,39.3,1.2,30.2,24.7
"S2025_T33_01","T33",2025-09-15,"0_20",5.85,44.4,23.9,1.58,19.7,149,3.01,1.35,8.3,35.6,25.7,38.7,1.23,34.8,23
"S2025_T34_01","T34",2025-09-15,"0_20",5.86,38.8,25.1,1.59,9.2,103,2.83,1.1,8.33,34.4,28.7,37,1.24,32.4,20.6
"S2025_T35_01","T35",2025-09-15,"0_20",5.58,43.4,26.3,1.8,17.9,113,3.62,1.45,9.22,32.7,25.9,41.4,1.14,37.6,31.5
"S2025_T36_01","T36",2025-09-15,"0_20",5.93,43.1,23.2,1.77,17.7,126,3.51,1.16,8.04,30.9,27.5,41.6,1.12,32.4,29.2
