"data","chuva_mm","temperatura_min_c","temperatura_max_c","umidade_relativa_pct","radiacao_mj_m2","vento_m_s"
2017-01-29,6.2,14,26,77,13.5,3.2
2017-01-30,2.6,12.9,24.9,66,13.1,2.5
2017-01-31,0,14.9,26.1,80,16.4,1.2
2017-02-01,1.6,14.4,28.1,90,13.6,2.2
2017-02-02,13.2,15.3,24.2,71,14.6,2.8
2017-02-03,0,12.4,23.6,83,13.8,1.2
2017-02-04,6.2,13.8,23.3,71,13.8,1.3
2017-02-05,4.2,12.4,27.8,77,12.2,2.9
2017-02-06,6.4,14,24.2,75,10.3,1.8
2017-02-07,13.4,13.8,25.9,88,14.2,1.1
2017-02-08,2.5,14.8,24.1,77,10.8,2.4
2017-02-09,4.4,12.5,25.1,76,14.3,1.6
2017-02-10,5.5,15.3,26.6,71,13.2,1.2
2017-02-11,3,13.2,24.8,84,11.8,2.9
2017-02-12,6.6,12.8,24.8,74,13.9,2.6
2017-02-13,0,14.7,23.8,85,11.8,1.3
2017-02-14,6.2,12.7,24,90,14,3
2017-02-15,3.9,13,23.7,87,10.7,1.3
2017-02-16,6,12.7,21.9,78,15.1,0.5
2017-02-17,1.9,12.5,22,73,12.4,0.4
2017-02-18,0,12.7,24.2,79,13.5,3
2017-02-19,1.3,13.1,25.2,83,14.3,1.4
2017-02-20,9.6,11.8,25.8,72,11.4,1.3
2017-02-21,0,12.5,22.5,82,12.4,1.5
2017-02-22,7.4,12.3,21.5,86,13.3,3.8
2017-02-23,2.4,14,22.1,76,12.1,0.8
2017-02-24,6.7,12.2,22.5,73,11.9,0.1
2017-02-25,9.1,13.5,22.6,76,9.1,2.1
2017-02-26,10.1,10.9,22.8,79,10.6,2.8
2017-02-27,2.7,12.4,25.5,81,12.5,2
2017-02-28,4.8,14,21.4,72,12.8,1.7
2017-03-01,0,13.9,24.5,71,11.9,2.4
2017-03-02,18.8,8.3,22,81,10.1,3
2017-03-03,5.4,13.8,24.8,88,10.9,1.4
2017-03-04,1.4,15.2,27.3,85,9.2,2.8
2017-03-05,4,13.1,25.9,79,11,2.5
2017-03-06,15.3,13.9,21,88,10.8,1.5
2017-03-07,0,11.1,20.3,95,10.9,0.8
2017-03-08,12.1,12.5,21.2,82,11.1,2.9
2017-03-09,12.7,11.6,20.7,82,12.4,1.6
2017-03-10,7.9,10.8,23.7,80,13.7,2.1
2017-03-11,12.1,12.4,23.8,93,10.1,0.9
2017-03-12,15.4,12.9,24.7,85,10.9,2
2017-03-13,0.2,13,25.8,79,12.4,3.2
2017-03-14,4.7,10.7,21.6,92,10.1,2.5
2017-03-15,1.7,12.5,25.2,83,10.9,2.7
2017-03-16,6.5,14.3,22.9,89,11.7,1.3
2017-03-17,7.4,10.5,25.2,88,8.9,3.4
2017-03-18,5.4,13.4,21.7,93,10.1,2.4
2017-03-19,6.6,13.4,25.2,84,10.4,0.8
2017-03-20,14.7,12.3,19.1,74,10.5,2.9
2017-03-21,13,10.4,24.5,74,10.4,2.2
2017-03-22,3.4,10.6,20.5,82,10.1,3
2017-03-23,14.8,10.8,23.3,89,10.3,1.5
2017-03-24,2.4,11.7,20.7,70,11.1,2.6
2017-03-25,8.6,11.1,21.4,87,9.3,1.1
2017-03-26,3.2,12.1,22.1,92,10.4,1.9
2017-03-27,11.6,11.3,22.7,89,10.2,0.9
2017-03-28,6.6,11.8,22.5,78,9.9,1.8
2017-03-29,13.2,14.4,22.4,83,12.3,2.4
2017-03-30,5.2,9.8,22.5,76,11.3,2.6
2017-03-31,15.5,13.4,23.7,82,10.4,2.2
2017-04-01,0,9.4,27.2,71,12.2,2.2
2017-04-02,9.9,12.7,26.7,95,10.8,1.9
2017-04-03,18.5,10.4,22.3,91,12.4,1.7
2017-04-04,8.3,12.7,19.5,75,7.7,2.1
2017-04-05,0,11,25.1,83,12,2
2017-04-06,2.7,10.1,20.5,78,9.4,2.4
2017-04-07,0,12.6,23.4,87,10.6,2.3
2017-04-08,2.9,13,22,92,10.6,2.3
2017-04-09,8.1,9.7,21.9,81,13.4,1.8
2017-04-10,10.5,12.9,21.9,73,14.2,2.1
2017-04-11,15,13.3,25,80,12.6,2.5
2017-04-12,8.2,10.6,23,100,9.5,2.8
2017-04-13,1.8,11.1,23.7,92,11.7,3
2017-04-14,13.1,13,19.8,82,10.7,2.6
2017-04-15,8.6,12.2,25.5,78,10,1
2017-04-16,17.9,9.2,20.7,76,11.4,2.4
2017-04-17,5.5,13,22.6,82,11.1,1.4
2017-04-18,3.7,10.8,23,74,10.8,2.2
2017-04-19,11.8,12.5,19.9,89,8.3,2.7
2017-04-20,6.7,14.4,23.7,76,10.2,1.7
2017-04-21,11.2,12.3,21.9,82,8.8,3.8
2017-04-22,12.1,14.3,24,88,10.6,2.5
2017-04-23,16.8,8.2,21.7,86,12,1.9
2017-04-24,3.9,12.5,23.1,89,12.1,3.6
2017-04-25,2.6,12.4,19.9,88,12.9,2
2017-04-26,14,14.3,22.7,86,10.8,1.8
2017-04-27,17.1,12.8,19.4,92,11,1.5
2017-04-28,21,11.9,25.2,91,12.4,2.2
2017-04-29,15.5,10.1,21.5,97,11.9,2.1
2017-04-30,13.6,10.5,25.6,76,14,2.7
2017-05-01,9.4,11.8,19.5,85,8.7,2.3
2017-05-02,14.3,12.4,21.8,85,12.7,3.2
2017-05-03,10,10.5,22.5,83,10.6,0.5
2017-05-04,11.1,9.9,24.8,87,10.1,3
2017-05-05,5.9,14.5,22.4,76,11.6,3
2017-05-06,18.3,11.9,19.6,93,13.5,0.7
2017-05-07,12.6,12.9,21.8,92,12.3,3.5
2017-05-08,12.8,13.7,23,86,13.7,1.5
2017-05-09,18.6,12.5,25.4,86,14,1.9
2017-05-10,0,13.8,23.3,87,11.4,3.1
2017-05-11,7.6,11.2,22.4,79,13,2.3
2017-05-12,2.9,14.3,23.9,84,10.8,1.9
2017-05-13,3.6,9.4,21.5,80,14.3,0.7
2017-05-14,0,14.8,19.2,76,12.2,1.5
2017-05-15,22.8,15.1,22.4,75,14.4,2.8
2017-05-16,7.9,13.8,20.8,79,11.3,0.9
2017-05-17,7.6,15.7,24.8,82,10.1,2.4
