"lancamento_id","data","tipo","categoria","subcategoria","produto_id","quantidade","unidade","valor_unitario","valor_total","canal_venda","atividade","talhao_id","natureza_alocacao","evento_id","observacao"
"L2016_000027",2016-02-15,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",7,"caixa",52.58,368.06,"feira_e_csa","agrofloresta","T06","direto",NA,""
"L2016_001998",2016-02-16,"despesa","insumo","composto_e_cobertura",NA,NA,NA,8088.22,8088.22,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000025",2016-02-19,"receita","venda_produto","feira_local","HORTA_CESTA",8,"cesta",47.61,380.88,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000026",2016-02-19,"receita","venda_produto","feira_local","HORTA_CESTA",11,"cesta",41.7,458.7,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000030",2016-02-22,"receita","venda_produto","feira_local","HORTA_CESTA",11,"cesta",45.61,501.71,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000028",2016-02-26,"receita","venda_produto","feira_local","HORTA_CESTA",6,"cesta",50.16,300.96,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000029",2016-02-26,"receita","venda_produto","feira_local","HORTA_CESTA",10,"cesta",41.46,414.6,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_001999",2016-02-26,"despesa","infraestrutura","energia_e_manutencao",NA,NA,NA,806,806,NA,"geral",NA,"compartilhado",NA,""
"L2016_000031",2016-02-29,"receita","venda_produto","feira_local","HORTA_AVULSO",23.2,"kg",10.62,246.38,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000033",2016-03-02,"receita","venda_produto","feira_local","HORTA_CESTA",7,"cesta",41.84,292.88,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000034",2016-03-02,"receita","venda_produto","feira_local","HORTA_CESTA",8,"cesta",43.81,350.48,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000032",2016-03-04,"receita","venda_produto","feira_local","HORTA_CESTA",15,"cesta",40.06,600.9,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000038",2016-03-07,"receita","venda_produto","feira_local","HORTA_AVULSO",13.2,"kg",9.74,128.57,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000036",2016-03-08,"receita","venda_produto","feira_local","HORTA_CESTA",10,"cesta",43.9,439,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002000",2016-03-08,"despesa","manejo","mao_de_obra",NA,NA,NA,7059.34,7059.34,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000035",2016-03-10,"receita","venda_produto","feira_local","HORTA_CESTA",10,"cesta",40.01,400.1,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000037",2016-03-10,"receita","venda_produto","feira_local","HORTA_AVULSO",8,"kg",9.58,76.64,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002001",2016-03-11,"despesa","operacao","transporte_e_embalagem",NA,NA,NA,1657.04,1657.04,NA,"beneficiamento",NA,"compartilhado",NA,""
"L2016_000041",2016-03-14,"receita","venda_produto","feira_local","HORTA_AVULSO",20.5,"kg",11.6,237.8,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000042",2016-03-14,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",6,"caixa",54.68,328.08,"feira_e_csa","agrofloresta","T25","direto",NA,""
"L2016_000039",2016-03-16,"receita","venda_produto","feira_local","HORTA_CESTA",11,"cesta",45.2,497.2,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000040",2016-03-16,"receita","venda_produto","feira_local","HORTA_CESTA",7,"cesta",41.67,291.69,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002002",2016-03-16,"despesa","insumo","composto_e_cobertura",NA,NA,NA,8233.03,8233.03,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000046",2016-03-21,"receita","venda_produto","feira_local","HORTA_AVULSO",12.7,"kg",12.88,163.58,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000047",2016-03-21,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",10,"caixa",48.31,483.1,"feira_e_csa","agrofloresta","T14","direto",NA,""
"L2016_000043",2016-03-22,"receita","venda_produto","feira_local","HORTA_CESTA",11,"cesta",39.22,431.42,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000044",2016-03-22,"receita","venda_produto","feira_local","HORTA_AVULSO",19.7,"kg",11.73,231.08,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000045",2016-03-22,"receita","venda_produto","feira_local","HORTA_CESTA",11,"cesta",42.37,466.07,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002003",2016-03-26,"despesa","infraestrutura","energia_e_manutencao",NA,NA,NA,1153.31,1153.31,NA,"geral",NA,"compartilhado",NA,""
"L2016_000050",2016-03-28,"receita","venda_produto","feira_local","HORTA_CESTA",9,"cesta",47.66,428.94,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000049",2016-03-30,"receita","venda_produto","feira_local","HORTA_CESTA",9,"cesta",37.91,341.19,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000048",2016-03-31,"receita","venda_produto","feira_local","HORTA_AVULSO",12.2,"kg",9.88,120.54,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000052",2016-04-04,"receita","venda_produto","feira_local","HORTA_AVULSO",15.5,"kg",11.27,174.68,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000055",2016-04-04,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",10,"caixa",53.84,538.4,"feira_e_csa","agrofloresta","T29","direto",NA,""
"L2016_000051",2016-04-06,"receita","venda_produto","feira_local","HORTA_CESTA",10,"cesta",38.94,389.4,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000053",2016-04-06,"receita","venda_produto","feira_local","HORTA_CESTA",9,"cesta",38.23,344.07,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000054",2016-04-08,"receita","venda_produto","feira_local","HORTA_CESTA",6,"cesta",38.14,228.84,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002004",2016-04-08,"despesa","manejo","mao_de_obra",NA,NA,NA,5904.47,5904.47,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000058",2016-04-11,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",3,"caixa",49.5,148.5,"feira_e_csa","agrofloresta","T17","direto",NA,""
"L2016_000059",2016-04-11,"receita","venda_produto","mudas","MUDA",34,"unidade",11.81,401.54,"viveiro","viveiro",NA,"direto",NA,""
"L2016_002005",2016-04-11,"despesa","operacao","transporte_e_embalagem",NA,NA,NA,1243.29,1243.29,NA,"beneficiamento",NA,"compartilhado",NA,""
"L2016_000057",2016-04-13,"receita","venda_produto","feira_local","HORTA_CESTA",12,"cesta",39.2,470.4,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000056",2016-04-15,"receita","venda_produto","feira_local","HORTA_AVULSO",11.6,"kg",10.42,120.87,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000061",2016-04-18,"receita","venda_produto","feira_local","HORTA_CESTA",15,"cesta",37.24,558.6,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000062",2016-04-18,"receita","venda_produto","mudas","MUDA",41,"unidade",11.72,480.52,"viveiro","viveiro",NA,"direto",NA,""
"L2016_000060",2016-04-21,"receita","venda_produto","feira_local","HORTA_CESTA",5,"cesta",35.86,179.3,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000063",2016-04-25,"receita","venda_produto","feira_local","HORTA_CESTA",7,"cesta",35.15,246.05,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000064",2016-04-26,"receita","venda_produto","feira_local","HORTA_CESTA",5,"cesta",50.98,254.9,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002006",2016-04-26,"despesa","infraestrutura","energia_e_manutencao",NA,NA,NA,1006.95,1006.95,NA,"geral",NA,"compartilhado",NA,""
"L2016_000065",2016-05-02,"receita","venda_produto","feira_local","HORTA_CESTA",14,"cesta",46.83,655.62,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000068",2016-05-02,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",8,"caixa",49.86,398.88,"feira_e_csa","agrofloresta","T35","direto",NA,""
"L2016_000067",2016-05-03,"receita","venda_produto","feira_local","HORTA_CESTA",7,"cesta",36.24,253.68,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000066",2016-05-04,"receita","venda_produto","feira_local","HORTA_CESTA",5,"cesta",40.46,202.3,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002007",2016-05-08,"despesa","manejo","mao_de_obra",NA,NA,NA,6619.97,6619.97,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000069",2016-05-11,"receita","venda_produto","feira_local","HORTA_CESTA",13,"cesta",50.57,657.41,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000070",2016-05-11,"receita","venda_produto","feira_local","HORTA_AVULSO",19.2,"kg",9.83,188.74,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002008",2016-05-11,"despesa","operacao","transporte_e_embalagem",NA,NA,NA,1351.76,1351.76,NA,"beneficiamento",NA,"compartilhado",NA,""
"L2016_000073",2016-05-18,"receita","venda_produto","feira_local","HORTA_CESTA",8,"cesta",40.76,326.08,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000071",2016-05-20,"receita","venda_produto","feira_local","HORTA_CESTA",12,"cesta",41.71,500.52,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000072",2016-05-20,"receita","venda_produto","feira_local","HORTA_CESTA",6,"cesta",41.62,249.72,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002009",2016-05-20,"despesa","manejo","colheita_e_beneficiamento",NA,NA,NA,3763.08,3763.08,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000076",2016-05-23,"receita","venda_produto","feira_local","HORTA_AVULSO",12.5,"kg",10.15,126.88,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000074",2016-05-25,"receita","venda_produto","feira_local","HORTA_AVULSO",24.7,"kg",11.18,276.15,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000077",2016-05-25,"receita","venda_produto","feira_local","HORTA_CESTA",9,"cesta",47.4,426.6,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000075",2016-05-26,"receita","venda_produto","feira_local","HORTA_CESTA",14,"cesta",39.06,546.84,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002010",2016-05-26,"despesa","infraestrutura","energia_e_manutencao",NA,NA,NA,709.48,709.48,NA,"geral",NA,"compartilhado",NA,""
"L2016_000078",2016-05-30,"receita","venda_produto","feira_local","HORTA_CESTA",12,"cesta",42.62,511.44,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000079",2016-05-30,"receita","venda_produto","feira_local","HORTA_CESTA",5,"cesta",37.27,186.35,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000084",2016-06-06,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",10,"caixa",55.45,554.5,"feira_e_csa","agrofloresta","T22","direto",NA,""
"L2016_000085",2016-06-06,"receita","venda_produto","cafe_verde","CAF_SACA",17,"saca_60kg",797.72,13561.24,"cooperativa","cafeicultura","T31","direto",NA,"venda de safra"
"L2016_000082",2016-06-07,"receita","venda_produto","feira_local","HORTA_CESTA",13,"cesta",36.54,475.02,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000083",2016-06-08,"receita","venda_produto","feira_local","HORTA_AVULSO",25.5,"kg",12.99,331.24,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002011",2016-06-08,"despesa","manejo","mao_de_obra",NA,NA,NA,5665.78,5665.78,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000081",2016-06-09,"receita","venda_produto","feira_local","HORTA_CESTA",11,"cesta",38.01,418.11,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000080",2016-06-10,"receita","venda_produto","feira_local","HORTA_CESTA",15,"cesta",44.23,663.45,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002012",2016-06-11,"despesa","operacao","transporte_e_embalagem",NA,NA,NA,1244.48,1244.48,NA,"beneficiamento",NA,"compartilhado",NA,""
"L2016_000089",2016-06-13,"receita","venda_produto","feira_local","HORTA_CESTA",15,"cesta",39.19,587.85,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000086",2016-06-14,"receita","venda_produto","feira_local","HORTA_CESTA",5,"cesta",38.08,190.4,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000087",2016-06-15,"receita","venda_produto","feira_local","HORTA_AVULSO",19.7,"kg",13.32,262.4,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000088",2016-06-15,"receita","venda_produto","feira_local","HORTA_CESTA",7,"cesta",40.96,286.72,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000093",2016-06-20,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",8,"caixa",46.4,371.2,"feira_e_csa","agrofloresta","T26","direto",NA,""
"L2016_000094",2016-06-20,"receita","venda_produto","cafe_verde","CAF_SACA",10,"saca_60kg",788.78,7887.8,"cooperativa","cafeicultura","T33","direto",NA,"venda de safra"
"L2016_002013",2016-06-20,"despesa","manejo","colheita_e_beneficiamento",NA,NA,NA,4105.53,4105.53,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000090",2016-06-23,"receita","venda_produto","feira_local","HORTA_CESTA",6,"cesta",44.71,268.26,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000091",2016-06-23,"receita","venda_produto","feira_local","HORTA_AVULSO",24.4,"kg",9.96,243.02,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000092",2016-06-23,"receita","venda_produto","feira_local","HORTA_AVULSO",21,"kg",9.34,196.14,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002014",2016-06-26,"despesa","infraestrutura","energia_e_manutencao",NA,NA,NA,1019.65,1019.65,NA,"geral",NA,"compartilhado",NA,""
"L2016_000097",2016-06-27,"receita","venda_produto","feira_local","HORTA_CESTA",14,"cesta",41.05,574.7,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000099",2016-06-27,"receita","venda_produto","cafe_verde","CAF_SACA",24,"saca_60kg",700.1,16802.4,"cooperativa","cafeicultura","T20","direto",NA,"venda de safra"
"L2016_000100",2016-06-27,"receita","venda_produto","cafe_torrado","CAF_TORRADO",36,"pacote_250g",17.77,639.72,"venda_direta","beneficiamento",NA,"direto",NA,""
"L2016_000098",2016-06-28,"receita","venda_produto","feira_local","HORTA_AVULSO",13.1,"kg",9.82,128.64,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000095",2016-06-30,"receita","venda_produto","feira_local","HORTA_CESTA",13,"cesta",41.11,534.43,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000096",2016-07-01,"receita","venda_produto","feira_local","HORTA_CESTA",10,"cesta",43.61,436.1,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000104",2016-07-04,"receita","venda_produto","feira_local","HORTA_CESTA",10,"cesta",41.34,413.4,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000105",2016-07-04,"receita","venda_produto","cafe_verde","CAF_SACA",8,"saca_60kg",677.08,5416.64,"cooperativa","cafeicultura","T21","direto",NA,"venda de safra"
"L2016_000106",2016-07-04,"receita","venda_produto","mudas","MUDA",63,"unidade",13.49,849.87,"viveiro","viveiro",NA,"direto",NA,""
"L2016_000101",2016-07-05,"receita","venda_produto","feira_local","HORTA_CESTA",5,"cesta",38.76,193.8,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000103",2016-07-05,"receita","venda_produto","feira_local","HORTA_CESTA",5,"cesta",41.19,205.95,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000102",2016-07-06,"receita","venda_produto","feira_local","HORTA_CESTA",5,"cesta",48.6,243,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002015",2016-07-08,"despesa","manejo","mao_de_obra",NA,NA,NA,5614.54,5614.54,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000108",2016-07-11,"receita","venda_produto","feira_local","HORTA_AVULSO",21.2,"kg",10.19,216.03,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000109",2016-07-11,"receita","venda_produto","cafe_verde","CAF_SACA",9,"saca_60kg",723.36,6510.24,"cooperativa","cafeicultura","T35","direto",NA,"venda de safra"
"L2016_002016",2016-07-11,"despesa","operacao","transporte_e_embalagem",NA,NA,NA,1332.48,1332.48,NA,"beneficiamento",NA,"compartilhado",NA,""
"L2016_000107",2016-07-12,"receita","venda_produto","feira_local","HORTA_CESTA",14,"cesta",39.25,549.5,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000112",2016-07-18,"receita","venda_produto","cafe_torrado","CAF_TORRADO",51,"pacote_250g",21.16,1079.16,"venda_direta","beneficiamento",NA,"direto",NA,""
"L2016_000111",2016-07-19,"receita","venda_produto","feira_local","HORTA_CESTA",8,"cesta",48.89,391.12,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002017",2016-07-20,"despesa","manejo","colheita_e_beneficiamento",NA,NA,NA,5188.13,5188.13,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000110",2016-07-21,"receita","venda_produto","feira_local","HORTA_CESTA",9,"cesta",40.72,366.48,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000115",2016-07-25,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",10,"caixa",49.64,496.4,"feira_e_csa","agrofloresta","T04","direto",NA,""
"L2016_000116",2016-07-25,"receita","venda_produto","cafe_verde","CAF_SACA",8,"saca_60kg",794.33,6354.64,"cooperativa","cafeicultura","T14","direto",NA,"venda de safra"
"L2016_002018",2016-07-26,"despesa","infraestrutura","energia_e_manutencao",NA,NA,NA,987.97,987.97,NA,"geral",NA,"compartilhado",NA,""
"L2016_000113",2016-07-27,"receita","venda_produto","feira_local","HORTA_CESTA",6,"cesta",37.4,224.4,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000114",2016-07-27,"receita","venda_produto","feira_local","HORTA_CESTA",5,"cesta",44.83,224.15,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000117",2016-08-03,"receita","venda_produto","feira_local","HORTA_CESTA",13,"cesta",40.96,532.48,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000118",2016-08-04,"receita","venda_produto","feira_local","HORTA_CESTA",12,"cesta",37.93,455.16,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000120",2016-08-08,"receita","venda_produto","feira_local","HORTA_CESTA",12,"cesta",37.78,453.36,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000121",2016-08-08,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",8,"caixa",46.67,373.36,"feira_e_csa","agrofloresta","T09","direto",NA,""
"L2016_002019",2016-08-08,"despesa","manejo","mao_de_obra",NA,NA,NA,6748.99,6748.99,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000119",2016-08-09,"receita","venda_produto","feira_local","HORTA_CESTA",13,"cesta",48.46,629.98,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002020",2016-08-11,"despesa","operacao","transporte_e_embalagem",NA,NA,NA,1039.8,1039.8,NA,"beneficiamento",NA,"compartilhado",NA,""
"L2016_000124",2016-08-15,"receita","venda_produto","feira_local","HORTA_AVULSO",21.5,"kg",8.78,188.77,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000123",2016-08-16,"receita","venda_produto","feira_local","HORTA_AVULSO",10.6,"kg",10.76,114.06,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000122",2016-08-18,"receita","venda_produto","feira_local","HORTA_CESTA",6,"cesta",42.53,255.18,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000128",2016-08-22,"receita","venda_produto","feira_local","HORTA_AVULSO",21,"kg",11.61,243.81,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000129",2016-08-22,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",4,"caixa",51.9,207.6,"feira_e_csa","agrofloresta","T22","direto",NA,""
"L2016_000130",2016-08-22,"receita","venda_produto","cafe_verde","CAF_SACA",18,"saca_60kg",832.16,14978.88,"cooperativa","cafeicultura","T05","direto",NA,"venda de safra"
"L2016_000126",2016-08-23,"receita","venda_produto","feira_local","HORTA_CESTA",10,"cesta",46.08,460.8,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000127",2016-08-23,"receita","venda_produto","feira_local","HORTA_AVULSO",13.6,"kg",10.89,148.1,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000125",2016-08-26,"receita","venda_produto","feira_local","HORTA_AVULSO",25.7,"kg",9.03,232.07,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002021",2016-08-26,"despesa","infraestrutura","energia_e_manutencao",NA,NA,NA,1098.72,1098.72,NA,"geral",NA,"compartilhado",NA,""
"L2016_000134",2016-08-29,"receita","venda_produto","cafe_verde","CAF_SACA",22,"saca_60kg",857.53,18865.66,"cooperativa","cafeicultura","T33","direto",NA,"venda de safra"
"L2016_000135",2016-08-29,"receita","venda_produto","cafe_torrado","CAF_TORRADO",79,"pacote_250g",21.65,1710.35,"venda_direta","beneficiamento",NA,"direto",NA,""
"L2016_000136",2016-08-29,"receita","venda_produto","mel","MEL_POTE",41,"pote_300g",24.06,986.46,"feira_local","meliponicultura",NA,"direto",NA,""
"L2016_000133",2016-08-30,"receita","venda_produto","feira_local","HORTA_CESTA",8,"cesta",34.89,279.12,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000131",2016-09-02,"receita","venda_produto","feira_local","HORTA_CESTA",11,"cesta",39.34,432.74,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000132",2016-09-02,"receita","venda_produto","feira_local","HORTA_AVULSO",13.3,"kg",10.48,139.38,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000137",2016-09-05,"receita","venda_produto","feira_local","HORTA_AVULSO",9.6,"kg",9.06,86.98,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000141",2016-09-05,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",6,"caixa",35.99,215.94,"feira_e_csa","agrofloresta","T31","direto",NA,""
"L2016_000142",2016-09-05,"receita","venda_produto","mel","MEL_POTE",49,"pote_300g",20.85,1021.65,"feira_local","meliponicultura",NA,"direto",NA,""
"L2016_000140",2016-09-06,"receita","venda_produto","feira_local","HORTA_CESTA",6,"cesta",43.13,258.78,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000138",2016-09-08,"receita","venda_produto","feira_local","HORTA_AVULSO",13.3,"kg",11.1,147.63,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_002022",2016-09-08,"despesa","manejo","mao_de_obra",NA,NA,NA,6395.77,6395.77,NA,"cafeicultura",NA,"compartilhado",NA,""
