"talhao_id","ano_safra","area_colhida_ha","producao_cereja_kg","producao_beneficiada_kg","produtividade_kg_ha","rendimento_beneficiamento_pct","peneira_alta_pct","defeitos_pct","nota_sensorial","preco_medio_saca","receita_estimada_cafe","custo_direto_estimado"
"T05",2022,0.53,3217,933,1759,29.5,52,12.9,80.1,825,12823,2062
"T06",2022,0.8,5191,1505,1881,29.2,59,8.3,82.6,955,23938,3219
"T07",2022,0.77,3745,1085,1410,29.2,48,14.8,76.3,630,11396,3263
"T08",2022,0.7,3700,1073,1532,26.8,49,12.7,78.3,731,13062,2737
"T09",2022,0.72,4274,1239,1721,30.2,54,10.6,82.3,940,19414,2969
"T10",2022,0.75,4448,1289,1719,28.2,52,11.7,82,924,19855,3399
"T11",2022,0.39,2490,722,1850,27,55,13.5,80.7,857,10305,1652
"T12",2022,0.63,3305,958,1521,28.8,60,14.7,78.7,754,12034,2603
"T13",2022,0.73,4642,1346,1843,27.8,56,14.5,79.2,776,17400,2984
"T14",2022,0.65,4446,1289,1983,29.4,47,14.8,79.7,803,17250,2632
"T15",2022,0.85,5571,1615,1900,28.6,55,13.9,78.4,739,19882,3358
"T16",2022,0.61,4373,1268,2078,29.1,66,11.8,81.7,907,19158,2585
"T17",2022,0.85,6326,1834,2157,27.2,52,10.9,82.9,971,29669,3876
"T18",2022,0.56,3529,1023,1826,27.7,52,16.9,77.8,707,12056,2569
"T19",2022,0.69,4313,1250,1812,28.4,52,12.3,81.1,879,18317,2779
"T20",2022,0.91,6353,1842,2024,29.3,60,12.1,81.7,910,27942,4088
"T21",2022,0.79,5364,1555,1968,27.3,53,14.3,79.3,784,20322,3573
"T22",2022,0.58,4154,1204,2076,29.2,64,11.9,81,873,17520,2399
"T23",2022,0.83,6346,1839,2216,28.1,49,11.9,81,870,26666,3553
"T24",2022,0.89,6411,1858,2088,26.8,59,10.2,81.7,910,28172,3809
"T25",2022,0.85,6378,1849,2175,28.1,60,9.8,83.3,994,30614,3928
"T26",2022,0.64,4864,1410,2203,27,64,10.9,82.2,936,21993,2630
"T27",2022,0.79,6430,1864,2359,27.8,62,6.9,84.2,1039,32276,3328
"T28",2022,0.84,5645,1636,1948,28.2,59,11.6,81,872,23765,3118
"T29",2022,0.69,6061,1757,2546,27.4,64,10.5,84.2,1039,30417,2884
"T30",2022,0.92,8119,2353,2558,27,62,12.4,80.1,826,32396,3591
"T31",2022,0.45,3186,923,2052,28.3,60,9.9,83.7,1015,15618,1784
"T32",2022,0.72,5001,1450,2013,27.1,60,12.3,82,924,22333,3199
"T33",2022,0.86,6844,1984,2307,28,57,9.8,82.2,937,30976,3100
"T34",2022,0.67,5303,1537,2294,27.1,46,12.3,78.9,764,19574,3021
"T35",2022,0.71,5325,1544,2174,28.6,61,13.3,81.5,898,23101,2749
"T36",2022,0.89,7580,2197,2469,28.9,61,8.9,85.2,1089,39886,4064
"T01",2023,0.82,4089,1185,1445,26.3,50,15.4,76.8,652,12888,3219
"T02",2023,0.85,6250,1811,2131,27.1,54,11.2,82.3,938,28311,3356
"T03",2023,0.53,3340,968,1826,28.2,53,10.5,80.2,833,13439,2065
"T04",2023,0.81,4905,1422,1755,29.5,59,12.6,80.8,862,20428,3439
"T05",2023,0.53,3083,894,1686,25.5,57,14.6,78.9,760,11323,2319
"T06",2023,0.8,4660,1351,1688,28.1,56,11.2,79.4,790,17785,3196
"T07",2023,0.77,4551,1319,1713,28,54,11.8,79.3,783,17203,3279
"T08",2023,0.7,3932,1140,1628,28.7,50,13,79.8,810,15387,2801
"T09",2023,0.72,4879,1414,1964,25.4,49,13.6,82.1,932,21962,2788
"T10",2023,0.75,4628,1341,1789,28.2,52,13.7,77.9,713,15935,3180
"T11",2023,0.39,2707,785,2012,28.4,59,10.4,81.2,883,11545,1703
"T12",2023,0.63,3391,983,1560,29.6,54,15.4,79.2,780,12773,2516
"T13",2023,0.73,5016,1454,1992,27.1,57,11.1,81.7,907,21970,2660
"T14",2023,0.65,4581,1328,2043,27.3,56,13.4,81.2,885,19574,2657
"T15",2023,0.85,5248,1521,1790,28,48,13.7,79.1,772,19566,3576
"T16",2023,0.61,4293,1244,2040,28.8,58,12.8,80.7,855,17741,2607
"T17",2023,0.85,5565,1613,1898,28.3,56,11.1,81.5,897,24112,3379
"T18",2023,0.56,3397,985,1758,31.4,59,13.8,80.5,846,13883,2335
"T19",2023,0.69,4924,1427,2068,29.2,56,11.9,82.3,938,22318,2879
"T20",2023,0.91,5931,1719,1889,27.9,53,14.7,78.6,747,21394,3944
"T21",2023,0.79,5482,1589,2011,28.5,51,15,80.1,825,21838,3213
"T22",2023,0.58,4225,1225,2112,27.3,59,9.1,83.3,993,20262,2401
"T23",2023,0.83,5551,1609,1939,26.1,46,14,79.7,806,21605,3293
"T24",2023,0.89,6219,1803,2025,27.3,50,11.5,82.1,931,27978,3674
"T25",2023,0.85,5727,1660,1953,29.4,62,9.9,82.1,930,25727,3220
"T26",2023,0.64,5145,1491,2330,28.3,57,9.5,83.8,1020,25355,2891
"T27",2023,0.79,6874,1992,2522,30.6,62,8.1,85.7,1115,37018,3332
"T28",2023,0.84,6090,1765,2102,30.3,53,11.1,81.5,898,26418,3748
"T29",2023,0.69,5238,1518,2200,30.3,55,11,82.9,969,24516,2886
"T30",2023,0.92,6276,1819,1977,27.1,55,12.5,80.1,828,25098,3648
"T31",2023,0.45,3919,1136,2524,28.8,56,12.1,80.8,861,16296,1997
"T32",2023,0.72,5080,1472,2045,28.2,60,11.5,81.7,906,22231,2782
"T33",2023,0.86,6805,1973,2294,27.2,63,6.4,85.9,1128,37086,3573
"T34",2023,0.67,5383,1560,2329,28,55,11.1,83.8,1019,26485,3161
"T35",2023,0.71,6115,1772,2496,28.1,57,10.8,85.2,1092,32263,2821
"T36",2023,0.89,6943,2013,2261,29,60,8.1,84.2,1040,34892,3489
"T01",2024,0.82,4475,1297,1582,27.3,53,15.3,77,662,14301,3463
"T02",2024,0.85,5190,1504,1770,29,51,14,78.9,761,19071,3304
"T03",2024,0.53,3395,984,1856,28.3,55,13.7,78.7,754,12366,2149
"T04",2024,0.81,5191,1505,1857,26.7,55,13.6,81.2,880,22074,3110
"T05",2024,0.53,3211,931,1756,28.2,55,10.8,80.9,868,13464,1884
"T06",2024,0.8,4865,1410,1763,28.1,51,11.5,80.6,852,20020,3790
"T07",2024,0.77,4880,1414,1837,28.4,54,12.7,81.1,876,20641,3185
"T08",2024,0.7,3927,1138,1626,28.9,55,15.5,78.2,726,13773,2776
"T09",2024,0.72,4446,1289,1790,28.1,50,13.6,78.7,751,16126,3225
"T10",2024,0.75,4239,1229,1638,25.5,57,12.7,79.7,802,16425,2735
"T11",2024,0.39,2436,706,1811,28.3,56,13.7,81.5,900,10595,1569
"T12",2024,0.63,3899,1130,1794,28.4,54,12.6,79.8,810,15256,2424
"T13",2024,0.73,4921,1426,1954,27,55,15.1,79.2,776,18443,2952
"T14",2024,0.65,4007,1162,1787,28.5,55,13.3,81.6,902,17461,2563
"T15",2024,0.85,5805,1683,1979,27.3,60,11.9,83.3,994,27862,3415
"T16",2024,0.61,4654,1349,2211,27.8,61,12.2,81.3,889,19983,2408
"T17",2024,0.85,6231,1806,2125,28.7,60,12.3,81.5,896,26978,3544
"T18",2024,0.56,3666,1063,1897,29,57,12.8,81.4,892,15797,2150
"T19",2024,0.69,4435,1286,1863,28.9,52,11.6,79.8,808,17321,3117
"T20",2024,0.91,7221,2093,2300,27.2,61,9.7,83,974,33975,3992
"T21",2024,0.79,5486,1590,2013,27.9,53,11.7,79.9,813,21539,3276
"T22",2024,0.58,4214,1221,2106,26.7,61,11,84.4,1050,21364,2617
"T23",2024,0.83,5209,1510,1819,27.1,55,14.8,79.2,778,19572,3451
"T24",2024,0.89,6556,1900,2135,29.5,62,14.5,80.7,857,27152,4062
"T25",2024,0.85,6793,1969,2316,28.3,54,9.4,81.6,901,29570,3476
"T26",2024,0.64,5107,1480,2313,27.4,54,9,82.4,943,23263,2564
"T27",2024,0.79,6011,1742,2206,27.6,51,13.6,79,769,22338,3618
"T28",2024,0.84,5836,1692,2014,27.3,57,13.5,79,768,21652,3622
"T29",2024,0.69,4824,1398,2026,26.8,54,13.8,81.5,899,20948,2671
"T30",2024,0.92,7303,2117,2301,27.7,54,11.6,81,873,30795,3521
"T31",2024,0.45,3375,978,2174,26.9,62,8.9,84.9,1077,17562,1908
"T32",2024,0.72,5324,1543,2143,29.3,52,12.4,83.1,983,25281,3295
"T33",2024,0.86,6104,1769,2057,29.6,54,13.3,79.9,816,24066,3966
"T34",2024,0.67,6076,1761,2629,28.9,59,8,85.6,1113,32671,2540
"T35",2024,0.71,5751,1667,2348,28.3,48,12.2,81.2,885,24576,3017
"T36",2024,0.89,6478,1878,2110,31.1,55,12.4,79.6,802,25084,3539
"T01",2025,0.82,4717,1367,1668,30.1,51,12.1,79.2,777,17706,3105
"T02",2025,0.85,5720,1658,1951,27.7,48,13.4,81.8,916,25313,3672
"T03",2025,0.53,3342,969,1828,27.8,58,13.2,79.3,785,12681,2031
"T04",2025,0.81,5479,1588,1961,27.1,57,12.9,80.2,828,21926,3514
"T05",2025,0.53,2682,777,1467,28.8,48,15.1,76.9,660,8548,2245
"T06",2025,0.8,4523,1311,1639,27,49,14.4,77.9,710,15512,3379
"T07",2025,0.77,4450,1290,1675,28.9,56,13.7,77,662,14221,3488
"T08",2025,0.7,3941,1142,1632,30.3,56,11.9,81.4,894,17010,3280
"T09",2025,0.72,4252,1232,1712,27.5,50,12.5,79.3,785,16128,2868
"T10",2025,0.75,4340,1258,1677,28.3,59,11.8,80.2,829,17376,3326
"T11",2025,0.39,2546,738,1892,28.4,57,14,79.3,782,9624,1766
"T12",2025,0.63,3999,1159,1840,27.1,56,14.9,79,766,14807,2622
"T13",2025,0.73,4604,1334,1828,27.7,65,12.2,80.7,855,19017,3042
"T14",2025,0.65,4109,1191,1832,28.1,56,13,80.4,841,16696,2584
"T15",2025,0.85,5834,1691,1989,26.3,58,12.2,80.8,863,24325,3180
"T16",2025,0.61,4100,1189,1948,27.9,53,12,81,871,17244,2696
"T17",2025,0.85,6458,1872,2202,27.9,51,9.1,81.4,895,27935,3267
"T18",2025,0.56,3521,1020,1822,29.2,63,10,82.3,940,15987,2371
"T19",2025,0.69,4593,1331,1930,28.5,57,16.1,77.9,710,15765,2770
"T20",2025,0.91,6339,1837,2019,28.1,51,15.5,79.5,796,24363,3797
"T21",2025,0.79,5771,1673,2117,27.1,57,7.9,85,1078,30056,3349
"T22",2025,0.58,3607,1045,1803,27.5,57,12.7,79.3,784,13661,2244
"T23",2025,0.83,5423,1572,1894,28,55,9.3,83.7,1010,26464,3145
"T24",2025,0.89,6316,1831,2057,29.7,52,13.4,80,819,24976,3702
"T25",2025,0.85,6352,1841,2166,31.3,64,11.8,80.9,866,26571,3502
"T26",2025,0.64,4408,1278,1996,28.6,50,14,80.9,868,18476,2387
"T27",2025,0.79,6248,1811,2293,28.6,58,12.1,82.4,945,28539,3439
"T28",2025,0.84,6094,1766,2103,29.4,53,12.7,80.3,838,24663,3312
"T29",2025,0.69,5665,1642,2380,27,59,12.2,82.3,939,25696,2490
"T30",2025,0.92,6898,1999,2173,28.9,66,10.6,83.5,1000,33313,3755
"T31",2025,0.45,4029,1168,2595,26.6,57,10.9,84.9,1074,20902,1864
"T32",2025,0.72,5019,1455,2020,28.6,60,12.5,83,975,23650,3247
"T33",2025,0.86,6159,1785,2076,27.6,63,9,84.6,1059,31498,3545
"T34",2025,0.67,5221,1513,2259,29.7,58,11.2,82.1,928,23407,2831
"T35",2025,0.71,6162,1786,2515,28.7,56,9.5,81.9,918,27331,2669
"T36",2025,0.89,6311,1829,2055,28.1,52,12.7,80.9,865,26360,3784
