"talhao_id","ano_mes","temperatura_min_c","temperatura_max_c","amplitude_termica_c","umidade_relativa_pct","umidade_solo_pct","chuva_mm","sombreamento_pct"
"T06","2021-07",15.4,26.7,11.2,61,24.1,87.2,29
"T07","2021-07",16,28.4,12.4,60,20.4,87.2,12
"T08","2021-07",14.9,28.5,13.6,53,17,87.2,2
"T09","2021-07",15.8,26,10.2,62,22.2,87.2,28
"T10","2021-07",16,24.4,8.4,62,26.8,87.2,49
"T11","2021-07",15.3,26.2,10.9,63,23.9,87.2,36
"T12","2021-07",15.6,29.3,13.7,57,18.4,87.2,6
"T13","2021-07",16.1,25.2,9,72,25.6,87.2,36
"T14","2021-07",16.1,26.9,10.9,70,26.7,87.2,28
"T15","2021-07",15,28.1,13.1,61,21.3,87.2,2
"T16","2021-07",16,27.1,11.1,65,28.5,87.2,36
"T17","2021-07",16.5,25.7,9.2,74,27,87.2,45
"T18","2021-07",15.8,28,12.2,57,21.6,87.2,4
"T19","2021-07",15.1,26.7,11.7,69,28.3,87.2,37
"T20","2021-07",16.7,26.6,9.9,60,30,87.2,32
"T21","2021-07",15.7,26.1,10.5,62,28.2,87.2,37
"T22","2021-07",15.6,26.1,10.5,70,21.5,87.2,38
"T23","2021-07",15.5,29.4,13.9,64,25.7,87.2,13
"T24","2021-07",15.1,26.8,11.7,66,28.8,87.2,38
"T25","2021-07",16.8,25.4,8.6,76,34.4,87.2,55
"T26","2021-07",17.3,24.8,7.4,75,34.3,87.2,51
"T27","2021-07",16.5,25.6,9.2,77,33.3,87.2,47
"T28","2021-07",15.5,29.8,14.3,66,32,87.2,11
"T29","2021-07",17.4,25.7,8.4,79,36.8,87.2,48
"T30","2021-07",16.4,26,9.6,64,34.8,87.2,32
"T31","2021-07",15.8,25.5,9.7,77,34.5,87.2,39
"T32","2021-07",16.1,27.4,11.3,73,34.4,87.2,33
"T33","2021-07",16.5,27.2,10.7,70,30.5,87.2,29
"T34","2021-07",15.9,26.7,10.8,73,35.6,87.2,35
"T35","2021-07",16.3,26,9.6,79,37.8,87.2,51
"T36","2021-07",15.7,27.4,11.7,74,30.2,87.2,34
"T01","2021-08",17,31.4,14.4,54,18,77.7,4
"T02","2021-08",17.6,25.4,7.8,64,28.6,77.7,63
"T03","2021-08",17.6,29.2,11.6,59,22.6,77.7,29
"T04","2021-08",16.1,28.6,12.5,60,23.1,77.7,36
"T05","2021-08",16.5,30.8,14.3,52,15.1,77.7,2
"T06","2021-08",16.8,28.3,11.6,56,24.4,77.7,29
"T07","2021-08",16.6,29.7,13.1,54,20.5,77.7,12
"T08","2021-08",16.1,31.4,15.2,46,14.4,77.7,2
"T09","2021-08",16.9,28.9,12,52,17.6,77.7,28
"T10","2021-08",17.2,28,10.7,61,26.3,77.7,49
"T11","2021-08",17.2,28.8,11.6,59,23.6,77.7,36
"T12","2021-08",17.1,30.8,13.7,50,14.7,77.7,6
"T13","2021-08",17.3,29.4,12,65,28.2,77.7,36
"T14","2021-08",17.6,27.6,10,61,27.3,77.7,28
"T15","2021-08",15.8,31,15.2,55,22.2,77.7,2
"T16","2021-08",18.5,29.6,11.1,63,27.6,77.7,36
"T17","2021-08",17.8,27.6,9.8,63,34.8,77.7,45
"T18","2021-08",16.7,31.5,14.8,57,23.1,77.7,4
"T19","2021-08",17.5,28.8,11.3,63,25.4,77.7,37
"T20","2021-08",17.1,28,10.9,61,26.7,77.7,32
"T21","2021-08",17.8,29,11.1,66,26.7,77.7,37
"T22","2021-08",16.7,27.8,11.1,63,27,77.7,38
"T23","2021-08",16.4,30,13.6,65,23.8,77.7,13
"T24","2021-08",17.8,27.9,10.1,68,27.1,77.7,38
"T25","2021-08",17.5,27,9.4,70,35.3,77.7,55
"T26","2021-08",18,25.7,7.7,69,36.3,77.7,51
"T27","2021-08",18.1,27.5,9.4,70,30.4,77.7,47
"T28","2021-08",17.1,30.5,13.4,62,28.3,77.7,11
"T29","2021-08",18.8,27.8,8.9,66,34.4,77.7,48
"T30","2021-08",17.8,28,10.3,70,30.8,77.7,32
"T31","2021-08",17.4,28.7,11.2,72,35,77.7,39
"T32","2021-08",17.2,28.2,11,66,32.8,77.7,33
"T33","2021-08",18,28.9,10.9,66,31.3,77.7,29
"T34","2021-08",17.3,27.6,10.2,72,35.8,77.7,35
"T35","2021-08",17.8,27.8,10,73,34.2,77.7,51
"T36","2021-08",19.1,28.2,9.2,70,30,77.7,34
"T01","2021-09",18.3,31.9,13.6,52,11.7,35.7,4
"T02","2021-09",19.1,27.3,8.2,64,20.9,35.7,63
"T03","2021-09",17.9,29.2,11.3,58,18.2,35.7,29
"T04","2021-09",16.6,29.1,12.5,53,15.3,35.7,36
"T05","2021-09",16.8,32.4,15.6,52,15.5,35.7,2
"T06","2021-09",17.7,30.8,13.2,53,16.4,35.7,29
"T07","2021-09",16.5,31.3,14.8,52,10.1,35.7,12
"T08","2021-09",17.2,32.2,14.9,47,10.3,35.7,2
"T09","2021-09",17.4,30.8,13.3,57,16.9,35.7,28
"T10","2021-09",18.1,28.4,10.3,58,21.1,35.7,49
"T11","2021-09",18.8,28.6,9.8,55,16,35.7,36
"T12","2021-09",17.1,32.4,15.3,53,12,35.7,6
"T13","2021-09",18.7,28.9,10.2,66,18.2,35.7,36
"T14","2021-09",17.9,30,12.1,60,20.5,35.7,28
"T15","2021-09",17.1,32.2,15.1,54,14.8,35.7,2
"T16","2021-09",18.7,28.6,9.9,61,20.5,35.7,36
"T17","2021-09",18.9,29.4,10.5,62,28.9,35.7,45
"T18","2021-09",17.6,32.2,14.7,59,13.2,35.7,4
"T19","2021-09",18.3,29.9,11.7,56,19.1,35.7,37
"T20","2021-09",19.2,29.8,10.6,63,16.2,35.7,32
"T21","2021-09",18.5,30,11.6,63,21.4,35.7,37
"T22","2021-09",18,29.1,11,64,17.2,35.7,38
"T23","2021-09",17.5,31.5,14,53,15.8,35.7,13
"T24","2021-09",17.9,30.3,12.4,63,18.4,35.7,38
"T25","2021-09",18.4,28.9,10.5,68,30,35.7,55
"T26","2021-09",19.2,28.1,8.9,73,31.9,35.7,51
"T27","2021-09",18.5,29,10.6,63,27.6,35.7,47
"T28","2021-09",17.9,31.4,13.5,62,21.8,35.7,11
"T29","2021-09",18.2,29.6,11.3,73,27.3,35.7,48
"T30","2021-09",18.2,28.3,10.1,65,24.6,35.7,32
"T31","2021-09",18.1,30.2,12.1,69,26.6,35.7,39
"T32","2021-09",18.3,29.9,11.5,64,23.9,35.7,33
"T33","2021-09",17.8,30.2,12.4,65,28.6,35.7,29
"T34","2021-09",19,29.4,10.4,65,24.7,35.7,35
"T35","2021-09",18.3,28.8,10.5,72,26.1,35.7,51
"T36","2021-09",18.6,29.6,11,64,23.1,35.7,34
"T01","2021-10",17.8,30.3,12.5,51,20.7,73.6,4
"T02","2021-10",17.5,25.5,8,68,29.5,73.6,63
"T03","2021-10",17.5,29,11.5,55,25.2,73.6,29
"T04","2021-10",17.9,27.2,9.3,62,30.1,73.6,36
"T05","2021-10",17,31.2,14.2,51,23,73.6,2
"T06","2021-10",17.2,29.6,12.4,58,31.1,73.6,29
"T07","2021-10",17,30.5,13.5,58,20.9,73.6,12
"T08","2021-10",17.5,31.1,13.6,51,24.3,73.6,2
"T09","2021-10",18,29,11,54,25.7,73.6,28
"T10","2021-10",17.8,29,11.2,65,30.6,73.6,49
"T11","2021-10",18.8,29,10.2,56,30.8,73.6,36
"T12","2021-10",17.1,31.1,14,55,25.9,73.6,6
"T13","2021-10",17.6,28.7,11,64,31.4,73.6,36
"T14","2021-10",17.9,29,11.1,65,30.5,73.6,28
"T15","2021-10",18.3,32.1,13.8,53,27.1,73.6,2
"T16","2021-10",17.9,28.4,10.5,65,31.8,73.6,36
"T17","2021-10",18.5,28.2,9.7,65,31.4,73.6,45
"T18","2021-10",18,30.6,12.6,58,27.5,73.6,4
"T19","2021-10",18.3,29.4,11.1,61,30.5,73.6,37
"T20","2021-10",17.9,28,10.1,69,27,73.6,32
"T21","2021-10",18.3,28.5,10.2,66,33.1,73.6,37
"T22","2021-10",18.5,29.6,11.1,66,29.7,73.6,38
"T23","2021-10",17.6,31.2,13.6,59,29.7,73.6,13
"T24","2021-10",17.8,27.7,9.9,63,33.7,73.6,38
"T25","2021-10",18.6,27.4,8.9,72,38.6,73.6,55
"T26","2021-10",18.5,27.1,8.6,76,38.8,73.6,51
"T27","2021-10",17.9,28.2,10.3,76,40.3,73.6,47
"T28","2021-10",18.6,29.9,11.4,64,31.7,73.6,11
"T29","2021-10",19.2,28.7,9.5,75,35.6,73.6,48
"T30","2021-10",17.7,28.9,11.2,62,37.3,73.6,32
"T31","2021-10",18.8,29.5,10.7,65,41.6,73.6,39
"T32","2021-10",18.2,29.8,11.7,72,39.5,73.6,33
"T33","2021-10",18.1,28.6,10.4,67,35.2,73.6,29
"T34","2021-10",17.9,28.7,10.8,66,37.4,73.6,35
"T35","2021-10",17.9,28.1,10.2,75,37.5,73.6,51
"T36","2021-10",18.6,30.2,11.6,69,35.7,73.6,34
"T01","2021-11",17.2,31.2,13.9,57,15.1,34.6,4
"T02","2021-11",18,26.2,8.2,64,24.6,34.6,63
"T03","2021-11",17.8,28.1,10.2,59,22.8,34.6,29
"T04","2021-11",17.7,28.5,10.8,66,20.5,34.6,36
"T05","2021-11",16.9,31.7,14.8,53,16.7,34.6,2
"T06","2021-11",17.4,28.9,11.5,62,19.9,34.6,29
"T07","2021-11",17.8,30.2,12.4,55,17.5,34.6,12
"T08","2021-11",16.6,30.5,14,56,17.2,34.6,2
"T09","2021-11",17.1,28,10.9,63,18.6,34.6,28
"T10","2021-11",18.5,27.7,9.3,65,26.5,34.6,49
"T11","2021-11",17.5,28.3,10.8,59,24.5,34.6,36
"T12","2021-11",16.7,31,14.2,58,16.4,34.6,6
"T13","2021-11",19,29,9.9,66,27.9,34.6,36
"T14","2021-11",18.5,29.9,11.5,67,26.2,34.6,28
"T15","2021-11",17.2,30.3,13.1,58,18.9,34.6,2
"T16","2021-11",17.4,29,11.7,63,26.7,34.6,36
"T17","2021-11",17.6,29.1,11.5,64,26.2,34.6,45
"T18","2021-11",18.2,30.9,12.7,56,18.7,34.6,4
"T19","2021-11",18.4,28.7,10.3,69,27.8,34.6,37
"T20","2021-11",16.8,29.7,12.9,64,26.1,34.6,32
"T21","2021-11",18.1,28.5,10.4,67,27.1,34.6,37
"T22","2021-11",18.6,28.4,9.9,64,27.3,34.6,38
"T23","2021-11",17.3,30.3,13,64,19.8,34.6,13
"T24","2021-11",18.4,29.7,11.3,65,26.8,34.6,38
"T25","2021-11",19.1,27.9,8.7,75,35.4,34.6,55
"T26","2021-11",18.5,28.2,9.6,70,34.1,34.6,51
"T27","2021-11",18.4,28.1,9.7,75,36.1,34.6,47
"T28","2021-11",17.3,31.1,13.8,64,28.1,34.6,11
"T29","2021-11",18.8,28.4,9.6,73,37.3,34.6,48
"T30","2021-11",18.4,28.3,9.9,66,30.8,34.6,32
"T31","2021-11",19.1,28.9,9.8,67,32,34.6,39
"T32","2021-11",17.9,30.1,12.3,69,30.7,34.6,33
"T33","2021-11",18,27.9,9.9,71,34.7,34.6,29
"T34","2021-11",18.1,29.1,11,70,30.5,34.6,35
"T35","2021-11",19.2,27.7,8.5,74,34.5,34.6,51
"T36","2021-11",17.9,28.3,10.4,73,30.7,34.6,34
"T01","2021-12",15.9,27.5,11.6,58,23.2,78.4,4
"T02","2021-12",17.1,24.5,7.3,73,32.5,78.4,63
"T03","2021-12",16,26.6,10.5,67,26.6,78.4,29
"T04","2021-12",16,26.3,10.3,62,30.1,78.4,36
"T05","2021-12",15.4,28.8,13.4,57,23.7,78.4,2
"T06","2021-12",16.5,25.9,9.5,65,23.2,78.4,29
"T07","2021-12",16.4,28.8,12.4,59,21.8,78.4,12
"T08","2021-12",15.7,28.4,12.6,54,26.7,78.4,2
"T09","2021-12",16.8,25.8,9,58,26.9,78.4,28
"T10","2021-12",16.7,24.7,8,68,30.4,78.4,49
"T11","2021-12",16.5,24.6,8.1,63,27.7,78.4,36
"T12","2021-12",15.3,28.3,13.1,53,21.6,78.4,6
"T13","2021-12",17.2,25,7.8,69,31.2,78.4,36
"T14","2021-12",16.3,26,9.7,71,31,78.4,28
"T15","2021-12",15.9,28.1,12.2,63,28.1,78.4,2
"T16","2021-12",16.3,25.8,9.5,71,34.2,78.4,36
"T17","2021-12",16.6,25.5,8.9,74,35.1,78.4,45
"T18","2021-12",16,28.3,12.3,64,29.3,78.4,4
"T19","2021-12",17.3,25.3,8.1,67,29.3,78.4,37
"T20","2021-12",16.5,25.8,9.3,70,31.7,78.4,32
"T21","2021-12",17,26.8,9.9,67,32.6,78.4,37
"T22","2021-12",17.3,25.3,7.9,67,32.8,78.4,38
"T23","2021-12",16.4,28.3,11.9,65,30.5,78.4,13
"T24","2021-12",17.1,27,9.9,75,31.9,78.4,38
"T25","2021-12",16.7,25.1,8.4,76,44,78.4,55
"T26","2021-12",17.5,25.6,8,77,40.6,78.4,51
"T27","2021-12",17.1,25,7.9,78,40.1,78.4,47
"T28","2021-12",16.6,28.6,12,73,30.7,78.4,11
"T29","2021-12",17.8,24.8,7,73,37.3,78.4,48
"T30","2021-12",17,26.1,9,75,33.7,78.4,32
"T31","2021-12",17.5,25.9,8.4,80,38.7,78.4,39
"T32","2021-12",17.3,27.1,9.8,72,37.8,78.4,33
"T33","2021-12",16.8,27.4,10.6,69,37,78.4,29
"T34","2021-12",17,25.9,8.8,75,36.8,78.4,35
"T35","2021-12",17.5,27.1,9.7,72,39.8,78.4,51
"T36","2021-12",17.4,25.4,8,73,33.4,78.4,34
"T01","2022-01",14.7,26.8,12,63,30,135,8
"T02","2022-01",15.9,23.2,7.4,70,38.7,135,43
"T03","2022-01",14.9,22.7,7.8,65,35.6,135,36
"T04","2022-01",14.9,25.1,10.2,74,37.7,135,36
"T05","2022-01",15.3,26,10.7,63,27.1,135,2
