"talhao_id","data_campanha","horario_voo","temperatura_superficie_media_c","temperatura_superficie_min_c","temperatura_superficie_max_c","indice_cobertura_vegetal","qualidade_imagem"
"T31",2021-02-15,"11:30",23.1,15.6,23.9,0.63,"boa"
"T32",2021-02-15,"11:30",22.3,15.2,24.2,0.63,"boa"
"T33",2021-02-15,"11:30",26.9,13.9,26.4,0.6,"boa"
"T34",2021-02-15,"11:30",22.9,14.7,24,0.65,"boa"
"T35",2021-02-15,"11:30",22.8,14.7,23.2,0.74,"boa"
"T36",2021-02-15,"11:30",25.7,14.7,26.6,0.64,"boa"
"T01",2021-05-15,"11:30",26.6,12.8,28.9,0.49,"boa"
"T02",2021-05-15,"11:30",21,14.5,20.7,0.77,"boa"
"T03",2021-05-15,"11:30",24.9,13.9,24.7,0.6,"boa"
"T04",2021-05-15,"11:30",23.1,13.8,26.3,0.7,"boa"
"T05",2021-05-15,"11:30",30,13.8,33,0.46,"boa"
"T06",2021-05-15,"11:30",22.5,13.7,23.2,0.63,"boa"
"T07",2021-05-15,"11:30",26.8,12.2,29.7,0.51,"boa"
"T08",2021-05-15,"11:30",26.3,13,29.2,0.42,"boa"
"T09",2021-05-15,"11:30",26.2,14.4,29.2,0.62,"boa"
"T10",2021-05-15,"11:30",22.2,14,21.2,0.7,"boa"
"T11",2021-05-15,"11:30",22.9,13.3,24.7,0.61,"boa"
"T12",2021-05-15,"11:30",29,12.8,32.2,0.47,"boa"
"T13",2021-05-15,"11:30",24,14.8,24.3,0.57,"boa"
"T14",2021-05-15,"11:30",23.5,13.5,27,0.62,"boa"
"T15",2021-05-15,"11:30",27.4,12.9,30.9,0.48,"boa"
"T16",2021-05-15,"11:30",24.1,14.5,24,0.65,"boa"
"T17",2021-05-15,"11:30",21.9,14.4,22.7,0.69,"boa"
"T18",2021-05-15,"11:30",28.6,12.4,28.6,0.44,"boa"
"T19",2021-05-15,"11:30",23.5,15.6,23.7,0.64,"boa"
"T20",2021-05-15,"11:30",24.9,14.8,26.6,0.64,"boa"
"T21",2021-05-15,"11:30",24,13.4,25.4,0.64,"boa"
"T22",2021-05-15,"11:30",23.6,15.3,23.7,0.69,"boa"
"T23",2021-05-15,"11:30",25.8,14.5,27.9,0.57,"boa"
"T24",2021-05-15,"11:30",22.8,15.3,22.4,0.65,"boa"
"T25",2021-05-15,"11:30",22.8,15,23,0.78,"boa"
"T26",2021-05-15,"11:30",23.1,15.2,25,0.77,"boa"
"T27",2021-05-15,"11:30",22.9,13.7,23.6,0.7,"boa"
"T28",2021-05-15,"11:30",26.7,15.4,31.2,0.49,"boa"
"T29",2021-05-15,"11:30",22.9,14.6,24.5,0.72,"boa"
"T30",2021-05-15,"11:30",23.4,14.9,25.9,0.61,"boa"
"T31",2021-05-15,"11:30",23.5,13.7,24.7,0.65,"boa"
"T32",2021-05-15,"11:30",24.3,14.9,26.3,0.58,"boa"
"T33",2021-05-15,"11:30",23.8,14.7,27.4,0.61,"boa"
"T34",2021-05-15,"11:30",23.1,14.3,23.1,0.62,"boa"
"T35",2021-05-15,"11:30",20.6,13.6,22.8,0.73,"boa"
"T36",2021-05-15,"11:30",24.5,13.9,26.7,0.61,"boa"
"T01",2021-08-15,"11:30",34.7,18.5,36.4,0.41,"boa"
"T02",2021-08-15,"11:30",27,19.5,25.6,0.81,"boa"
"T03",2021-08-15,"11:30",32.2,19.3,33.1,0.61,"boa"
"T04",2021-08-15,"11:30",30.5,17.3,32.8,0.64,"boa"
"T05",2021-08-15,"11:30",35.1,18.9,33.4,0.44,"boa"
"T06",2021-08-15,"11:30",30.9,18.2,31.8,0.63,"boa"
"T07",2021-08-15,"11:30",32.7,18.8,34.7,0.54,"boa"
"T08",2021-08-15,"11:30",35.1,17.3,38.3,0.49,"boa"
"T09",2021-08-15,"11:30",30.1,19.1,32.3,0.58,"boa"
"T10",2021-08-15,"11:30",28.3,19.1,28.6,0.72,"boa"
"T11",2021-08-15,"11:30",30.9,18.9,31.1,0.62,"boa"
"T12",2021-08-15,"11:30",35,18.3,35.7,0.48,"boa"
"T13",2021-08-15,"11:30",31.9,18.9,32.8,0.66,"boa"
"T14",2021-08-15,"11:30",28.8,19.6,31.2,0.64,"boa"
"T15",2021-08-15,"11:30",34.3,17.3,38.1,0.47,"boa"
"T16",2021-08-15,"11:30",31.7,20.4,33.2,0.62,"boa"
"T17",2021-08-15,"11:30",30.6,19.6,31.6,0.72,"boa"
"T18",2021-08-15,"11:30",36.1,18,36.7,0.44,"boa"
"T19",2021-08-15,"11:30",32,19.9,31.4,0.7,"boa"
"T20",2021-08-15,"11:30",30,18.9,31.1,0.61,"boa"
"T21",2021-08-15,"11:30",29.9,19.6,32.4,0.6,"boa"
"T22",2021-08-15,"11:30",30.7,17.9,29.5,0.64,"boa"
"T23",2021-08-15,"11:30",33.2,17.8,34.8,0.53,"boa"
"T24",2021-08-15,"11:30",30.4,19.5,32.5,0.66,"boa"
"T25",2021-08-15,"11:30",28.4,18.9,29.6,0.74,"boa"
"T26",2021-08-15,"11:30",27,19.2,26.5,0.77,"boa"
"T27",2021-08-15,"11:30",28.3,19.9,30.3,0.71,"boa"
"T28",2021-08-15,"11:30",34,18.9,35.8,0.52,"boa"
"T29",2021-08-15,"11:30",29.2,20.9,29,0.71,"boa"
"T30",2021-08-15,"11:30",30.5,18.6,30.7,0.61,"boa"
"T31",2021-08-15,"11:30",29.3,19.1,32,0.66,"boa"
"T32",2021-08-15,"11:30",29.4,19.5,32.8,0.69,"boa"
"T33",2021-08-15,"11:30",32.4,19.2,33.9,0.57,"boa"
"T34",2021-08-15,"11:30",31,18.6,30.8,0.64,"boa"
"T35",2021-08-15,"11:30",29.2,19.1,29.6,0.7,"boa"
"T36",2021-08-15,"11:30",30.2,20.8,32.1,0.72,"boa"
"T01",2021-11-15,"11:30",33.6,18.9,36.4,0.52,"boa"
"T02",2021-11-15,"11:30",27,19.8,26.2,0.83,"boa"
"T03",2021-11-15,"11:30",29.5,19.1,32.9,0.63,"boa"
"T04",2021-11-15,"11:30",29.1,20,32.1,0.63,"boa"
"T05",2021-11-15,"11:30",35.4,18.2,36.2,0.49,"boa"
"T06",2021-11-15,"11:30",32.1,19,31.5,0.55,"boa"
"T07",2021-11-15,"11:30",32.9,20,35.4,0.54,"boa"
"T08",2021-11-15,"11:30",34.4,18.4,36.2,0.46,"boa"
"T09",2021-11-15,"11:30",30,18.7,31.4,0.62,"boa"
"T10",2021-11-15,"11:30",29.8,20.1,29.5,0.74,"boa"
"T11",2021-11-15,"11:30",30.7,19.2,31.4,0.62,"boa"
"T12",2021-11-15,"11:30",35.2,17.6,35.7,0.48,"boa"
"T13",2021-11-15,"11:30",30.6,20.3,32.5,0.64,"boa"
"T14",2021-11-15,"11:30",33.1,20.1,32.9,0.61,"boa"
"T15",2021-11-15,"11:30",35.1,18.3,35.6,0.41,"boa"
"T16",2021-11-15,"11:30",30.1,19.8,34,0.63,"boa"
"T17",2021-11-15,"11:30",31.1,18.8,31.6,0.71,"boa"
"T18",2021-11-15,"11:30",34.2,19.1,36,0.43,"boa"
"T19",2021-11-15,"11:30",31.8,20.5,32.1,0.68,"boa"
"T20",2021-11-15,"11:30",32,18.3,33.4,0.61,"boa"
"T21",2021-11-15,"11:30",30.7,19.3,30.7,0.64,"boa"
"T22",2021-11-15,"11:30",30.7,20.2,31.9,0.64,"boa"
"T23",2021-11-15,"11:30",33.8,19.3,35,0.5,"boa"
"T24",2021-11-15,"11:30",31.3,20.2,32.2,0.69,"boa"
"T25",2021-11-15,"11:30",30,20.4,31.2,0.78,"boa"
"T26",2021-11-15,"11:30",31.1,19.5,30.6,0.73,"boa"
"T27",2021-11-15,"11:30",29.8,19.9,30.2,0.73,"boa"
"T28",2021-11-15,"11:30",34.9,18.8,35.6,0.54,"boa"
"T29",2021-11-15,"11:30",29.6,20.9,29.7,0.72,"boa"
"T30",2021-11-15,"11:30",30.4,20.4,31.5,0.63,"boa"
"T31",2021-11-15,"11:30",30.8,20.8,33.1,0.7,"boa"
"T32",2021-11-15,"11:30",31.5,19.6,34,0.62,"boa"
"T33",2021-11-15,"11:30",29.4,20.1,32.5,0.62,"boa"
"T34",2021-11-15,"11:30",31.9,19.7,33.6,0.6,"boa"
"T35",2021-11-15,"11:30",28.5,21,29,0.76,"boa"
"T36",2021-11-15,"11:30",30.9,19.2,31.5,0.63,"boa"
"T01",2022-02-15,"11:30",27.8,13.5,29.2,0.5,"boa"
"T02",2022-02-15,"11:30",23.7,14.1,24.7,0.74,"boa"
"T03",2022-02-15,"11:30",22.6,14.6,23.9,0.69,"boa"
"T04",2022-02-15,"11:30",24,13.7,24.7,0.64,"boa"
"T05",2022-02-15,"11:30",26.6,13.7,28.4,0.45,"boa"
"T06",2022-02-15,"11:30",24.5,15.4,25.3,0.67,"boa"
"T07",2022-02-15,"11:30",27.2,14.4,29.7,0.44,"boa"
"T08",2022-02-15,"11:30",27.9,14,29.3,0.46,"boa"
"T09",2022-02-15,"11:30",26.2,15.7,27.1,0.63,"boa"
"T10",2022-02-15,"11:30",20.7,14.3,23.9,0.64,"boa"
"T11",2022-02-15,"11:30",24.5,14.1,25.3,0.66,"boa"
"T12",2022-02-15,"11:30",28.8,14.3,31.3,0.44,"boa"
"T13",2022-02-15,"11:30",26.5,13.9,28,0.55,"boa"
"T14",2022-02-15,"11:30",23.7,15,24.2,0.6,"boa"
"T15",2022-02-15,"11:30",29,13.5,31.4,0.46,"boa"
"T16",2022-02-15,"11:30",24.3,14.1,27.2,0.65,"boa"
"T17",2022-02-15,"11:30",21.8,15.8,21.5,0.78,"boa"
"T18",2022-02-15,"11:30",27.7,15.3,29,0.51,"boa"
"T19",2022-02-15,"11:30",25,14.3,27.4,0.61,"boa"
"T20",2022-02-15,"11:30",25.1,16.1,25.5,0.59,"boa"
"T21",2022-02-15,"11:30",23.2,15.5,25.8,0.63,"boa"
"T22",2022-02-15,"11:30",25.5,14.3,26.9,0.61,"boa"
"T23",2022-02-15,"11:30",27,13.5,28.6,0.47,"boa"
"T24",2022-02-15,"11:30",24.1,13.9,26.3,0.62,"boa"
"T25",2022-02-15,"11:30",23.7,15.7,20.8,0.77,"boa"
"T26",2022-02-15,"11:30",23,15.6,22.2,0.66,"boa"
"T27",2022-02-15,"11:30",22.7,16.2,22.7,0.7,"boa"
"T28",2022-02-15,"11:30",29.1,14.6,30.8,0.44,"boa"
"T29",2022-02-15,"11:30",24,14.7,22.6,0.72,"boa"
"T30",2022-02-15,"11:30",26.8,15.3,27.2,0.57,"boa"
"T31",2022-02-15,"11:30",25.3,14.8,24.7,0.7,"boa"
"T32",2022-02-15,"11:30",23.5,14.2,22.8,0.7,"boa"
"T33",2022-02-15,"11:30",19.2,16.7,22.3,0.72,"boa"
"T34",2022-02-15,"11:30",26.1,14.6,26.5,0.56,"boa"
"T35",2022-02-15,"11:30",22.9,14.1,25.4,0.69,"boa"
"T36",2022-02-15,"11:30",26,16.4,26.9,0.56,"boa"
"T01",2022-05-15,"11:30",28.4,13.5,27.3,0.43,"boa"
"T02",2022-05-15,"11:30",21.5,15.2,24.8,0.72,"boa"
"T03",2022-05-15,"11:30",23.2,14.2,22.5,0.59,"boa"
"T04",2022-05-15,"11:30",24.8,16.3,25.2,0.67,"boa"
"T05",2022-05-15,"11:30",27.8,12.9,30.1,0.45,"boa"
"T06",2022-05-15,"11:30",21.5,13.4,22.4,0.65,"boa"
"T07",2022-05-15,"11:30",26.8,13.1,28.1,0.48,"boa"
"T08",2022-05-15,"11:30",27.2,14.6,29.7,0.53,"boa"
"T09",2022-05-15,"11:30",23.5,14.1,25.9,0.59,"boa"
"T10",2022-05-15,"11:30",24.1,14.4,23.3,0.67,"boa"
"T11",2022-05-15,"11:30",22.9,15.2,21.9,0.71,"boa"
"T12",2022-05-15,"11:30",27.9,15.1,29.5,0.49,"boa"
"T13",2022-05-15,"11:30",26.3,15,26,0.59,"boa"
"T14",2022-05-15,"11:30",24.3,15.1,26.5,0.63,"boa"
"T15",2022-05-15,"11:30",27.9,13.9,29.6,0.41,"boa"
"T16",2022-05-15,"11:30",22.2,15.4,22.9,0.59,"boa"
"T17",2022-05-15,"11:30",20.3,13.9,20.6,0.72,"boa"
"T18",2022-05-15,"11:30",25,15.2,27.6,0.57,"boa"
"T19",2022-05-15,"11:30",24.8,14.2,25.2,0.56,"boa"
"T20",2022-05-15,"11:30",22.9,14.9,22.3,0.64,"boa"
"T21",2022-05-15,"11:30",21.2,15.6,23.8,0.68,"boa"
"T22",2022-05-15,"11:30",27.6,13.6,26.7,0.6,"boa"
"T23",2022-05-15,"11:30",26.7,15.2,30.6,0.49,"boa"
"T24",2022-05-15,"11:30",23.4,15.1,25.6,0.66,"boa"
"T25",2022-05-15,"11:30",19.9,16.4,22.2,0.68,"boa"
"T26",2022-05-15,"11:30",22.8,15.5,23.3,0.71,"boa"
"T27",2022-05-15,"11:30",23.5,15.9,25.5,0.71,"boa"
"T28",2022-05-15,"11:30",26.6,14.5,29.8,0.41,"boa"
"T29",2022-05-15,"11:30",21.9,16.6,20.5,0.73,"boa"
"T30",2022-05-15,"11:30",24,15.6,25.1,0.61,"boa"
"T31",2022-05-15,"11:30",21.9,15.6,23.6,0.66,"boa"
"T32",2022-05-15,"11:30",23.5,15.1,24.3,0.71,"boa"
"T33",2022-05-15,"11:30",22.2,15.4,22.4,0.72,"boa"
"T34",2022-05-15,"11:30",24.3,15.5,25.9,0.61,"boa"
"T35",2022-05-15,"11:30",19.6,14.4,22.5,0.65,"boa"
"T36",2022-05-15,"11:30",25,14.9,26.4,0.59,"boa"
"T01",2022-08-15,"11:30",31.6,18.2,33,0.43,"boa"
"T02",2022-08-15,"11:30",27.5,18.1,28.4,0.66,"boa"
"T03",2022-08-15,"11:30",30.4,18,32.5,0.62,"boa"
"T04",2022-08-15,"11:30",29,17.5,31.2,0.62,"boa"
"T05",2022-08-15,"11:30",33.9,18.2,36.4,0.47,"boa"
"T06",2022-08-15,"11:30",29.1,19.2,30.7,0.61,"boa"
"T07",2022-08-15,"11:30",32.4,19.4,34.5,0.49,"boa"
"T08",2022-08-15,"11:30",33,17.9,34.6,0.52,"boa"
"T09",2022-08-15,"11:30",30.8,18.1,31.2,0.6,"boa"
"T10",2022-08-15,"11:30",31.4,18.9,29.1,0.63,"boa"
"T11",2022-08-15,"11:30",27.3,17,28.1,0.71,"boa"
"T12",2022-08-15,"11:30",32.7,18,36.6,0.44,"boa"
"T13",2022-08-15,"11:30",30.6,18.9,33.8,0.51,"boa"
"T14",2022-08-15,"11:30",29.3,20,31,0.59,"boa"
"T15",2022-08-15,"11:30",32.5,18.4,36,0.39,"boa"
"T16",2022-08-15,"11:30",28.2,18.2,31.6,0.6,"boa"
"T17",2022-08-15,"11:30",26.4,19,25.2,0.74,"boa"
"T18",2022-08-15,"11:30",31.2,18,32.1,0.55,"boa"
"T19",2022-08-15,"11:30",30,18.4,32.2,0.6,"boa"
"T20",2022-08-15,"11:30",29.2,18.8,28.5,0.64,"boa"
"T21",2022-08-15,"11:30",26.7,18.5,28.1,0.65,"boa"
"T22",2022-08-15,"11:30",31.2,19.3,32,0.57,"boa"
"T23",2022-08-15,"11:30",31.7,18.8,33.8,0.47,"boa"
"T24",2022-08-15,"11:30",30.4,17.4,29.6,0.54,"boa"
"T25",2022-08-15,"11:30",26.8,18.9,27.4,0.78,"boa"
"T26",2022-08-15,"11:30",25.5,19.9,29.9,0.63,"boa"
"T27",2022-08-15,"11:30",28.4,19,27.6,0.77,"boa"
"T28",2022-08-15,"11:30",32,19.1,33.8,0.43,"boa"
"T29",2022-08-15,"11:30",28.8,19.2,29.1,0.71,"boa"
"T30",2022-08-15,"11:30",29.6,19.5,31.9,0.66,"boa"
"T31",2022-08-15,"11:30",26.9,18.4,30.2,0.69,"boa"
"T32",2022-08-15,"11:30",28.5,20.4,29,0.69,"boa"
"T33",2022-08-15,"11:30",28.1,20.4,30.1,0.73,"boa"
"T34",2022-08-15,"11:30",28.5,17.9,30.2,0.6,"boa"
"T35",2022-08-15,"11:30",28.2,18.5,29.7,0.68,"boa"
"T36",2022-08-15,"11:30",31.7,19,34.5,0.57,"boa"
"T01",2022-11-15,"11:30",34.6,19.3,37.2,0.43,"boa"
"T02",2022-11-15,"11:30",27.9,21.2,29.2,0.65,"boa"
"T03",2022-11-15,"11:30",29.5,19.6,30.7,0.67,"boa"
"T04",2022-11-15,"11:30",30.9,19.4,29.8,0.62,"boa"
"T05",2022-11-15,"11:30",33.8,19.2,38,0.43,"boa"
"T06",2022-11-15,"11:30",30.8,18.4,31.3,0.68,"boa"
"T07",2022-11-15,"11:30",34.3,19.5,36,0.48,"boa"
"T08",2022-11-15,"11:30",33.8,19.2,37.4,0.5,"boa"
"T09",2022-11-15,"11:30",29,19.8,32,0.52,"boa"
"T10",2022-11-15,"11:30",31.2,19.3,32.5,0.64,"boa"
"T11",2022-11-15,"11:30",29.1,20.2,30.9,0.68,"boa"
"T12",2022-11-15,"11:30",33.7,19.4,35.2,0.51,"boa"
"T13",2022-11-15,"11:30",30.9,19.2,35.3,0.55,"boa"
"T14",2022-11-15,"11:30",29.2,19.5,31.4,0.65,"boa"
"T15",2022-11-15,"11:30",35.8,19,36.5,0.44,"boa"
"T16",2022-11-15,"11:30",30,18.2,33.3,0.66,"boa"
"T17",2022-11-15,"11:30",26.3,20.2,26.2,0.71,"boa"
"T18",2022-11-15,"11:30",32.6,19.4,34.5,0.55,"boa"
"T19",2022-11-15,"11:30",30.8,20.3,33.3,0.54,"boa"
"T20",2022-11-15,"11:30",28.9,18.7,29.1,0.66,"boa"
"T21",2022-11-15,"11:30",30.9,19.3,29,0.62,"boa"
"T22",2022-11-15,"11:30",31.2,20,32.6,0.65,"boa"
"T23",2022-11-15,"11:30",33.2,19.6,35.9,0.51,"boa"
"T24",2022-11-15,"11:30",31,20.3,32.1,0.57,"boa"
"T25",2022-11-15,"11:30",28.2,20.5,26.9,0.74,"boa"
"T26",2022-11-15,"11:30",29.2,21.4,29.2,0.74,"boa"
"T27",2022-11-15,"11:30",30.1,19.6,29,0.72,"boa"
"T28",2022-11-15,"11:30",36,19.4,37.7,0.48,"boa"
"T29",2022-11-15,"11:30",26.3,20.7,27.9,0.72,"boa"
"T30",2022-11-15,"11:30",29.7,19.6,31,0.63,"boa"
"T31",2022-11-15,"11:30",30.4,20.2,30.5,0.64,"boa"
"T32",2022-11-15,"11:30",29.9,19.1,31.2,0.7,"boa"
"T33",2022-11-15,"11:30",29.9,19.8,30.2,0.74,"boa"
"T34",2022-11-15,"11:30",30.4,19.8,31.5,0.61,"boa"
"T35",2022-11-15,"11:30",28.9,19.8,30.4,0.62,"boa"
"T36",2022-11-15,"11:30",33.9,20,33,0.56,"boa"
"T01",2023-02-15,"11:30",28.8,16.3,28.7,0.47,"boa"
"T02",2023-02-15,"11:30",21.6,16.4,21.8,0.71,"boa"
"T03",2023-02-15,"11:30",24.3,15.4,26.3,0.56,"boa"
"T04",2023-02-15,"11:30",24.2,15.8,25,0.67,"boa"
"T05",2023-02-15,"11:30",25.3,15.4,27.7,0.51,"boa"
"T06",2023-02-15,"11:30",25.4,14.5,24.7,0.51,"boa"
"T07",2023-02-15,"11:30",25.2,15.2,27.2,0.52,"boa"
"T08",2023-02-15,"11:30",27.4,15.9,29.8,0.52,"boa"
"T09",2023-02-15,"11:30",24.3,16,27.9,0.57,"boa"
"T10",2023-02-15,"11:30",25,15.4,23.5,0.63,"boa"
"T11",2023-02-15,"11:30",24.6,15.1,27.3,0.51,"boa"
"T12",2023-02-15,"11:30",29.2,14.5,29.9,0.4,"boa"
"T13",2023-02-15,"11:30",24.4,15.6,26.7,0.56,"boa"
"T14",2023-02-15,"11:30",25.4,14.5,26,0.58,"boa"
"T15",2023-02-15,"11:30",26.2,14.9,29.5,0.43,"boa"
"T16",2023-02-15,"11:30",23.9,15.6,26.1,0.61,"boa"
"T17",2023-02-15,"11:30",22.3,16.5,20.1,0.7,"boa"
"T18",2023-02-15,"11:30",27.8,15.3,27.5,0.42,"boa"
"T19",2023-02-15,"11:30",26.1,15,24.2,0.61,"boa"
"T20",2023-02-15,"11:30",24.6,16.3,26,0.71,"boa"
"T21",2023-02-15,"11:30",24,16.5,24.5,0.67,"boa"
"T22",2023-02-15,"11:30",26.5,15.6,27.6,0.56,"boa"
"T23",2023-02-15,"11:30",27,15.1,29,0.46,"boa"
"T24",2023-02-15,"11:30",24.3,15.1,25,0.6,"boa"
"T25",2023-02-15,"11:30",23.5,16.6,26,0.71,"boa"
"T26",2023-02-15,"11:30",21.9,16.4,21.6,0.64,"boa"
"T27",2023-02-15,"11:30",21.5,16.1,22,0.74,"boa"
"T28",2023-02-15,"11:30",24,16,25.9,0.56,"boa"
"T29",2023-02-15,"11:30",24,16.1,21.7,0.71,"boa"
"T30",2023-02-15,"11:30",23.9,16.3,26.7,0.54,"boa"
"T31",2023-02-15,"11:30",20.7,16.5,20.4,0.7,"boa"
"T32",2023-02-15,"11:30",24,16.6,24.2,0.66,"boa"
"T33",2023-02-15,"11:30",22.5,16.2,24.2,0.65,"boa"
"T34",2023-02-15,"11:30",24.1,17.4,26.5,0.67,"boa"
"T35",2023-02-15,"11:30",22.8,17.6,24.7,0.75,"boa"
"T36",2023-02-15,"11:30",26.2,17.1,26.2,0.58,"boa"
"T01",2023-05-15,"11:30",24.6,13.2,25.8,0.47,"boa"
"T02",2023-05-15,"11:30",19.3,15,21.6,0.71,"boa"
"T03",2023-05-15,"11:30",25,13.2,25.5,0.55,"boa"
"T04",2023-05-15,"11:30",23.7,14.1,25.3,0.61,"boa"
"T05",2023-05-15,"11:30",24.3,14.2,26.8,0.52,"boa"
"T06",2023-05-15,"11:30",23.4,13.2,26.5,0.6,"boa"
"T07",2023-05-15,"11:30",24.9,14.9,26,0.47,"boa"
"T08",2023-05-15,"11:30",28.2,12.5,29.4,0.5,"boa"
"T09",2023-05-15,"11:30",24,14.5,25.2,0.56,"boa"
"T10",2023-05-15,"11:30",22.5,13.9,23.3,0.6,"boa"
"T11",2023-05-15,"11:30",25.9,14.8,25.6,0.61,"boa"
"T12",2023-05-15,"11:30",23.9,13.4,26.3,0.42,"boa"
"T13",2023-05-15,"11:30",23,13.6,24.7,0.61,"boa"
"T14",2023-05-15,"11:30",23.5,14.6,23.9,0.59,"boa"
"T15",2023-05-15,"11:30",26.8,14,28.5,0.45,"boa"
"T16",2023-05-15,"11:30",24.2,14,24.4,0.59,"boa"
"T17",2023-05-15,"11:30",21.9,15.2,20.2,0.73,"boa"
"T18",2023-05-15,"11:30",25,15.1,28.9,0.48,"boa"
"T19",2023-05-15,"11:30",25.1,14.3,25.1,0.56,"boa"
"T20",2023-05-15,"11:30",20.9,14.7,23.8,0.66,"boa"
"T21",2023-05-15,"11:30",22.1,15.5,21.7,0.61,"boa"
"T22",2023-05-15,"11:30",23.8,14.3,26.4,0.5,"boa"
"T23",2023-05-15,"11:30",24.4,14.8,27,0.52,"boa"
"T24",2023-05-15,"11:30",24.1,14,25.3,0.62,"boa"
"T25",2023-05-15,"11:30",21.1,14.6,21.1,0.7,"boa"
"T26",2023-05-15,"11:30",22,13.7,26.3,0.74,"boa"
"T27",2023-05-15,"11:30",20.9,14.7,22.9,0.73,"boa"
"T28",2023-05-15,"11:30",26.4,14.8,27.3,0.53,"boa"
"T29",2023-05-15,"11:30",20.9,14.6,22.5,0.69,"boa"
"T30",2023-05-15,"11:30",25.9,13.7,26.3,0.6,"boa"
"T31",2023-05-15,"11:30",20.8,15.1,22.4,0.73,"boa"
"T32",2023-05-15,"11:30",22.4,15.4,23.1,0.67,"boa"
"T33",2023-05-15,"11:30",24,15,22.5,0.66,"boa"
"T34",2023-05-15,"11:30",22.9,15,23,0.65,"boa"
"T35",2023-05-15,"11:30",22,13,20.6,0.7,"boa"
"T36",2023-05-15,"11:30",23.5,14,26.1,0.63,"boa"
"T01",2023-08-15,"11:30",31.6,17,34.1,0.54,"boa"
"T02",2023-08-15,"11:30",26.7,18.6,26.8,0.71,"boa"
"T03",2023-08-15,"11:30",31,18.3,33.6,0.56,"boa"
"T04",2023-08-15,"11:30",31.5,18,31.7,0.65,"boa"
"T05",2023-08-15,"11:30",32.1,18.7,32.4,0.52,"boa"
"T06",2023-08-15,"11:30",31.2,18.1,32.1,0.57,"boa"
"T07",2023-08-15,"11:30",32.8,17,34.9,0.52,"boa"
"T08",2023-08-15,"11:30",32,17.9,34.7,0.41,"boa"
"T09",2023-08-15,"11:30",32.6,17.3,33.2,0.54,"boa"
"T10",2023-08-15,"11:30",29.3,18.5,30.5,0.65,"boa"
"T11",2023-08-15,"11:30",30.2,19.1,34.1,0.57,"boa"
"T12",2023-08-15,"11:30",31.5,17.5,32.8,0.45,"boa"
"T13",2023-08-15,"11:30",31.4,17.8,31.7,0.67,"boa"
"T14",2023-08-15,"11:30",32.9,17.6,32.6,0.55,"boa"
"T15",2023-08-15,"11:30",34.2,17.5,34.8,0.46,"boa"
"T16",2023-08-15,"11:30",28.7,18.4,29.6,0.65,"boa"
"T17",2023-08-15,"11:30",29.2,18.3,28,0.71,"boa"
"T18",2023-08-15,"11:30",34,18.7,34.6,0.44,"boa"
"T19",2023-08-15,"11:30",30.6,18.8,33.1,0.58,"boa"
"T20",2023-08-15,"11:30",28.2,18,29.5,0.68,"boa"
"T21",2023-08-15,"11:30",31.4,20.3,32,0.67,"boa"
