"ponto_agua_id","data_coleta","chuva_72h_mm","vazao_l_s","turbidez_ntu","pH","condutividade_us_cm","nitrato_mg_l","fosforo_mg_l","observacao_campo"
"AG02",2022-05-20,15.8,3.9,10.9,6.39,57,0.4,0.047,"coleta de rotina"
"AG03",2022-05-20,15.8,4.1,8,6.46,64,0.5,0.07,"coleta de rotina"
"AG01",2022-06-20,19.8,4.8,4.4,6.6,46,0.36,0.061,"coleta de rotina"
"AG02",2022-06-20,19.8,5.3,6.7,6.65,61,0.61,0.073,"coleta de rotina"
"AG03",2022-06-20,19.8,5.3,14.8,6.47,64,0.59,0.087,"coleta de rotina"
"AG01",2022-07-20,10.5,4.7,5.1,6.63,47,0.34,0.045,"coleta de rotina"
"AG02",2022-07-20,10.5,4.3,5.6,6.51,57,0.51,0.063,"coleta de rotina"
"AG03",2022-07-20,10.5,3.9,8.5,6.51,60,0.69,0.073,"coleta de rotina"
"AG01",2022-08-20,15.1,3.6,7.5,6.74,55,0.38,0.05,"coleta de rotina"
"AG02",2022-08-20,15.1,3.4,8.4,6.43,52,0.52,0.04,"coleta de rotina"
"AG03",2022-08-20,15.1,4.4,10.8,6.64,65,0.74,0.074,"coleta de rotina"
"AG01",2022-09-20,9.3,4.5,3.4,6.45,47,0.35,0.037,"coleta de rotina"
"AG02",2022-09-20,9.3,3.9,6.7,6.56,58,0.52,0.047,"coleta de rotina"
"AG03",2022-09-20,9.3,4.8,8.6,6.57,69,0.57,0.091,"coleta de rotina"
"AG01",2022-10-20,2.4,4.2,3,6.55,54,0.34,0.03,"coleta de rotina"
"AG02",2022-10-20,2.4,5.2,4.8,6.59,56,0.48,0.048,"coleta de rotina"
"AG03",2022-10-20,2.4,3.7,10.4,6.51,62,0.62,0.046,"coleta de rotina"
"AG01",2022-11-20,10.4,4.5,3.5,6.79,55,0.42,0.05,"coleta de rotina"
"AG02",2022-11-20,10.4,4.5,7.2,6.45,61,0.49,0.039,"coleta de rotina"
"AG03",2022-11-20,10.4,3.9,9.4,6.35,61,0.65,0.07,"coleta de rotina"
"AG01",2022-12-20,20.9,4.8,7.3,6.57,51,0.42,0.056,"coleta de rotina"
"AG02",2022-12-20,20.9,4,5.8,6.46,54,0.57,0.076,"coleta de rotina"
"AG03",2022-12-20,20.9,5,6,6.18,69,0.56,0.089,"coleta de rotina"
"AG01",2023-01-20,27,4.7,7.9,6.58,51,0.43,0.062,"coleta de rotina"
"AG02",2023-01-20,27,4.9,9.6,6.35,61,0.61,0.073,"coleta de rotina"
"AG03",2023-01-20,27,4.3,9.3,6.63,69,0.62,0.114,"coleta de rotina"
"AG01",2023-02-20,29,4.7,9,6.7,56,0.39,0.061,"coleta de rotina"
"AG02",2023-02-20,29,5.3,7.1,6.56,57,0.59,0.086,"coleta de rotina"
"AG03",2023-02-20,29,4.9,11.9,6.48,64,0.62,0.083,"coleta de rotina"
"AG01",2023-03-20,46.4,5.7,13.3,6.44,47,0.52,0.082,"coleta de rotina"
"AG02",2023-03-20,46.4,6.4,13,6.62,56,0.56,0.097,"coleta de rotina"
"AG03",2023-03-20,46.4,6.5,12.9,6.44,69,0.8,0.126,"coleta de rotina"
"AG01",2023-04-20,41,4.7,8.2,6.62,53,0.45,0.081,"coleta de rotina"
"AG02",2023-04-20,41,5.2,17.7,6.6,62,0.48,0.11,"coleta de rotina"
"AG03",2023-04-20,41,5.6,16,6.52,63,0.66,0.114,"coleta de rotina"
"AG01",2023-05-20,33.4,5.7,2.1,6.83,52,0.45,0.063,"coleta de rotina"
"AG02",2023-05-20,33.4,4.7,10.8,6.49,54,0.55,0.067,"coleta de rotina"
"AG03",2023-05-20,33.4,4.4,14.5,6.43,69,0.71,0.096,"coleta de rotina"
"AG01",2023-06-20,37.1,4.9,8.3,6.6,44,0.44,0.089,"coleta de rotina"
"AG02",2023-06-20,37.1,5.2,9.5,6.62,60,0.62,0.091,"coleta de rotina"
"AG03",2023-06-20,37.1,5,10.2,6.31,66,0.79,0.113,"coleta de rotina"
"AG01",2023-07-20,26.2,4.2,7.5,6.63,53,0.44,0.066,"coleta de rotina"
"AG02",2023-07-20,26.2,5.1,10.4,6.54,60,0.63,0.085,"coleta de rotina"
"AG03",2023-07-20,26.2,4.7,11,6.52,57,0.77,0.09,"coleta de rotina"
"AG01",2023-08-20,14.2,4,4.2,6.85,47,0.44,0.04,"coleta de rotina"
"AG02",2023-08-20,14.2,3.7,1.9,6.44,63,0.56,0.059,"coleta de rotina"
"AG03",2023-08-20,14.2,3.9,5.6,6.48,60,0.69,0.059,"coleta de rotina"
"AG01",2023-09-20,3.5,4.9,1.8,6.6,53,0.44,0.034,"coleta de rotina"
"AG02",2023-09-20,3.5,3.2,3.9,6.71,57,0.55,0.036,"coleta de rotina"
"AG03",2023-09-20,3.5,3.8,6.3,6.43,67,0.7,0.057,"coleta de rotina"
"AG01",2023-10-20,0.5,3.7,1,6.64,49,0.22,0.041,"coleta de rotina"
"AG02",2023-10-20,0.5,3.4,6.1,6.41,57,0.37,0.044,"coleta de rotina"
"AG03",2023-10-20,0.5,2.8,0.5,6.83,71,0.63,0.06,"coleta de rotina"
"AG01",2023-11-20,0,3.9,0.4,6.74,45,0.42,0.031,"coleta de rotina"
"AG02",2023-11-20,0,4.3,5.9,6.58,62,0.46,0.037,"coleta de rotina"
"AG03",2023-11-20,0,3.1,3.2,6.57,58,0.62,0.044,"coleta de rotina"
"AG01",2023-12-20,1.4,4.2,1.5,6.54,58,0.3,0.017,"coleta de rotina"
"AG02",2023-12-20,1.4,3.5,1.2,6.71,58,0.57,0.019,"coleta de rotina"
"AG03",2023-12-20,1.4,3.2,7.5,6.42,59,0.6,0.05,"coleta de rotina"
"AG01",2024-01-20,18.9,4.5,24.2,6.49,58,0.45,0.062,"chuva intensa na semana"
"AG02",2024-01-20,18.9,2.8,22.5,6.58,62,0.62,0.037,"chuva intensa na semana"
"AG03",2024-01-20,18.9,4.4,23.4,6.46,64,0.65,0.077,"chuva intensa na semana"
"AG01",2024-02-20,23.5,4.8,10.7,6.69,44,0.38,0.063,"coleta de rotina"
"AG02",2024-02-20,23.5,4.6,10.1,6.48,54,0.52,0.071,"coleta de rotina"
"AG03",2024-02-20,23.5,4.6,11.4,6.4,63,0.7,0.076,"coleta de rotina"
"AG01",2024-03-20,47.1,5.2,6.2,6.51,50,0.55,0.103,"coleta de rotina"
"AG02",2024-03-20,47.1,5,14.5,6.43,60,0.56,0.098,"coleta de rotina"
"AG03",2024-03-20,47.1,6.3,9,6.56,66,0.67,0.109,"coleta de rotina"
"AG01",2024-04-20,41.9,4,11.8,6.63,51,0.49,0.083,"coleta de rotina"
"AG02",2024-04-20,41.9,5.6,11.7,6.59,58,0.69,0.084,"coleta de rotina"
"AG03",2024-04-20,41.9,6.2,14.6,6.42,62,0.78,0.106,"coleta de rotina"
"AG01",2024-05-20,36.2,4.8,8.4,6.49,47,0.5,0.079,"coleta de rotina"
"AG02",2024-05-20,36.2,5.1,12,6.67,59,0.75,0.087,"coleta de rotina"
"AG03",2024-05-20,36.2,5.8,14.1,6.37,73,0.72,0.101,"coleta de rotina"
"AG01",2024-06-20,24,4.1,9.9,6.53,56,0.46,0.065,"coleta de rotina"
"AG02",2024-06-20,24,3.8,7.9,6.81,50,0.56,0.083,"coleta de rotina"
"AG03",2024-06-20,24,4.1,10.9,6.53,67,0.6,0.084,"coleta de rotina"
"AG01",2024-07-20,17.6,4.6,7.2,6.65,51,0.28,0.055,"coleta de rotina"
"AG02",2024-07-20,17.6,4.1,9.3,6.38,56,0.53,0.068,"coleta de rotina"
"AG03",2024-07-20,17.6,3.6,11.8,6.47,65,0.61,0.059,"coleta de rotina"
"AG01",2024-08-20,25.3,4.6,6.6,6.65,50,0.46,0.06,"coleta de rotina"
"AG02",2024-08-20,25.3,4.6,12.4,6.69,58,0.44,0.091,"coleta de rotina"
"AG03",2024-08-20,25.3,4.6,10.3,6.38,65,0.66,0.102,"coleta de rotina"
"AG01",2024-09-20,6.6,3,2.3,6.63,47,0.45,0.032,"coleta de rotina"
"AG02",2024-09-20,6.6,3.6,5.2,6.46,58,0.63,0.043,"coleta de rotina"
"AG03",2024-09-20,6.6,3.9,9.3,6.5,58,0.52,0.057,"coleta de rotina"
"AG01",2024-10-20,5.7,3.6,1.3,6.54,48,0.38,0.024,"coleta de rotina"
"AG02",2024-10-20,5.7,4.3,4.5,6.35,63,0.5,0.037,"coleta de rotina"
"AG03",2024-10-20,5.7,3.5,9.5,6.61,66,0.65,0.062,"coleta de rotina"
"AG01",2024-11-20,10.5,2.8,7.1,6.87,48,0.62,0.041,"coleta de rotina"
"AG02",2024-11-20,10.5,4.1,8.7,6.45,51,0.51,0.043,"coleta de rotina"
"AG03",2024-11-20,10.5,4.4,7.9,6.44,64,0.73,0.048,"coleta de rotina"
"AG01",2024-12-20,9.4,3.9,8.7,6.48,52,0.36,0.032,"coleta de rotina"
"AG02",2024-12-20,9.4,3.4,4.9,6.66,62,0.56,0.057,"coleta de rotina"
"AG03",2024-12-20,9.4,4.6,5.5,6.37,69,0.59,0.08,"coleta de rotina"
"AG01",2025-01-20,20.1,3.7,11.2,6.6,43,0.35,0.06,"coleta de rotina"
"AG02",2025-01-20,20.1,4.2,6.3,6.32,50,0.54,0.071,"coleta de rotina"
"AG03",2025-01-20,20.1,3.9,13.7,6.44,64,0.62,0.07,"coleta de rotina"
"AG01",2025-02-20,43.9,6.7,11.1,6.39,47,0.43,0.09,"coleta de rotina"
"AG02",2025-02-20,43.9,4.1,15.1,6.51,57,0.71,0.1,"coleta de rotina"
"AG03",2025-02-20,43.9,4.6,16.6,6.4,70,0.84,0.134,"coleta de rotina"
"AG01",2025-03-20,50.9,6,13.9,6.61,49,0.45,0.101,"coleta de rotina"
"AG02",2025-03-20,50.9,5.3,15.9,6.5,52,0.69,0.107,"coleta de rotina"
"AG03",2025-03-20,50.9,6.3,20.9,6.57,58,0.73,0.129,"coleta de rotina"
"AG01",2025-04-20,46.9,4.9,12.4,6.52,41,0.42,0.087,"coleta de rotina"
"AG02",2025-04-20,46.9,5.4,13.2,6.51,59,0.55,0.099,"coleta de rotina"
"AG03",2025-04-20,46.9,5.1,16.6,6.53,66,0.83,0.123,"coleta de rotina"
"AG01",2025-05-20,40.2,4.5,12.3,6.65,43,0.47,0.091,"coleta de rotina"
"AG02",2025-05-20,40.2,5.8,12,6.51,55,0.57,0.109,"coleta de rotina"
"AG03",2025-05-20,40.2,5.9,14.7,6.67,62,0.81,0.12,"coleta de rotina"
"AG01",2025-06-20,23.5,4.5,6.1,6.54,54,0.4,0.073,"coleta de rotina"
"AG02",2025-06-20,23.5,5.1,6.9,6.49,59,0.56,0.057,"coleta de rotina"
"AG03",2025-06-20,23.5,5.4,9.4,6.49,67,0.74,0.103,"coleta de rotina"
"AG01",2025-07-20,45.3,5.8,9.1,6.5,58,0.53,0.081,"coleta de rotina"
"AG02",2025-07-20,45.3,6.4,15.2,6.45,55,0.53,0.098,"coleta de rotina"
"AG03",2025-07-20,45.3,6.2,13.3,6.55,58,0.71,0.125,"coleta de rotina"
"AG01",2025-08-20,26.9,4.1,7.7,6.41,59,0.33,0.069,"coleta de rotina"
"AG02",2025-08-20,26.9,5.9,7.2,6.57,62,0.54,0.093,"coleta de rotina"
"AG03",2025-08-20,26.9,4.8,11.9,6.46,63,0.57,0.081,"coleta de rotina"
"AG01",2025-09-20,33.2,4.9,10.4,6.56,51,0.43,0.058,"coleta de rotina"
"AG02",2025-09-20,33.2,4.8,8.3,6.47,56,0.52,0.084,"coleta de rotina"
"AG03",2025-09-20,33.2,4.5,14.1,6.73,57,0.77,0.104,"coleta de rotina"
"AG01",2025-10-20,1.5,4.2,2.1,6.59,52,0.43,0.027,"coleta de rotina"
"AG02",2025-10-20,1.5,3.2,1.6,6.81,51,0.45,0.047,"coleta de rotina"
"AG03",2025-10-20,1.5,3.3,5.9,6.43,61,0.59,0.046,"coleta de rotina"
"AG01",2025-11-20,1.3,3.8,4.1,6.64,48,0.34,0.009,"coleta de rotina"
"AG02",2025-11-20,1.3,3,4.6,6.59,56,0.46,0.032,"coleta de rotina"
"AG03",2025-11-20,1.3,3.8,4.2,6.51,64,0.64,0.046,"coleta de rotina"
"AG01",2025-12-20,17.1,4.2,9.7,6.51,55,0.42,0.033,"coleta de rotina"
"AG02",2025-12-20,17.1,4,6.3,6.53,58,0.66,0.067,"coleta de rotina"
"AG03",2025-12-20,17.1,3.5,9.4,6.28,64,0.71,0.095,"coleta de rotina"
