"talhao_id","ano","sistema","idade_cafezal","cultivar","densidade_cafe_ha","densidade_banana_ha","densidade_inga_ha","cobertura_solo_pct","sombreamento_pct","dose_composto_kg_ha","poda_realizada","irrigacao"
"T33",2017,"cafe_inga",10,"Mundo Novo",4415,0,93,51,38,1840,TRUE,FALSE
"T34",2017,"cafe_inga",15,"Catuai Vermelho",4282,0,89,62,32,1827,TRUE,FALSE
"T35",2017,"cafe_banana_inga",9,"Catuai Vermelho",4015,344,79,70,42,2588,FALSE,FALSE
"T36",2017,"cafe_banana",11,"Catuai Vermelho",4386,379,0,55,18,2085,TRUE,FALSE
"T01",2018,"cafe_solteiro",9,"Mundo Novo",4054,0,0,29,4,1443,FALSE,FALSE
"T02",2018,"cafe_banana_inga",12,"Catuai Vermelho",4437,375,101,73,41,2326,TRUE,FALSE
"T03",2018,"cafe_banana",11,"Catuai Vermelho",4217,367,0,70,27,1970,TRUE,FALSE
"T04",2018,"cafe_banana",6,"Catuai Vermelho",4288,290,0,53,42,1871,TRUE,FALSE
"T05",2018,"cafe_solteiro",16,"Catuai Vermelho",3822,0,0,43,13,1845,TRUE,FALSE
"T06",2018,"cafe_banana",9,"Catuai Vermelho",4087,306,0,40,32,1730,FALSE,FALSE
"T07",2018,"cafe_solteiro",11,"Catuai Vermelho",4493,0,0,25,9,1580,TRUE,FALSE
"T08",2018,"cafe_solteiro",6,"Catuai Vermelho",4098,0,0,29,6,1545,TRUE,FALSE
"T09",2018,"cafe_banana",11,"Catuai Vermelho",4609,336,0,58,18,2302,FALSE,FALSE
"T10",2018,"cafe_inga",15,"Catuai Vermelho",4251,0,78,60,26,2092,TRUE,FALSE
"T11",2018,"cafe_inga",11,"Catuai Vermelho",4789,0,86,64,35,1727,TRUE,FALSE
"T12",2018,"cafe_solteiro",8,"Catuai Vermelho",4150,0,0,43,5,1798,TRUE,FALSE
"T13",2018,"cafe_banana",8,"Catuai Vermelho",3909,322,0,52,32,1978,TRUE,FALSE
"T14",2018,"cafe_banana",8,"Catuai Vermelho",4383,300,0,64,21,1678,TRUE,FALSE
"T15",2018,"cafe_solteiro",12,"Mundo Novo",4376,0,0,45,9,1692,TRUE,FALSE
"T16",2018,"cafe_inga",10,"Catuai Vermelho",4117,0,77,70,27,2245,TRUE,FALSE
"T17",2018,"cafe_banana_inga",14,"Mundo Novo",3927,302,71,89,50,2214,TRUE,FALSE
"T18",2018,"cafe_solteiro",13,"Catuai Vermelho",4225,0,0,32,2,1943,TRUE,FALSE
"T19",2018,"cafe_banana",9,"Arara",3964,309,0,57,31,2447,TRUE,FALSE
"T20",2018,"cafe_inga",8,"Catuai Vermelho",4212,0,88,57,35,1932,TRUE,FALSE
"T21",2018,"cafe_inga",11,"Arara",4454,0,82,47,33,2232,TRUE,FALSE
"T22",2018,"cafe_banana",11,"Mundo Novo",4243,320,0,59,41,2114,TRUE,FALSE
"T23",2018,"cafe_solteiro",7,"Mundo Novo",4244,0,0,37,5,1314,TRUE,FALSE
"T24",2018,"cafe_inga",7,"Mundo Novo",4210,0,73,62,26,1841,TRUE,FALSE
"T25",2018,"cafe_banana_inga",16,"Catuai Vermelho",4154,289,48,77,47,2235,TRUE,FALSE
"T26",2018,"cafe_banana_inga",9,"Mundo Novo",4072,296,91,70,57,1915,TRUE,FALSE
"T27",2018,"cafe_banana_inga",10,"Arara",4290,325,69,79,48,2162,TRUE,FALSE
"T28",2018,"cafe_solteiro",12,"Arara",4378,0,0,38,2,1532,FALSE,FALSE
"T29",2018,"cafe_banana_inga",8,"Mundo Novo",4093,303,66,89,47,2182,FALSE,FALSE
"T30",2018,"cafe_banana",12,"Catuai Vermelho",4213,355,0,54,18,1478,TRUE,FALSE
"T31",2018,"cafe_banana_inga",15,"Mundo Novo",3722,274,62,75,49,2076,TRUE,FALSE
"T32",2018,"cafe_inga",14,"Catuai Vermelho",3880,0,74,59,35,1425,FALSE,FALSE
"T33",2018,"cafe_inga",13,"Catuai Vermelho",3962,0,99,68,28,1607,TRUE,FALSE
"T34",2018,"cafe_inga",12,"Catuai Vermelho",4394,0,84,67,32,1603,TRUE,FALSE
"T35",2018,"cafe_banana_inga",16,"Mundo Novo",4360,255,108,80,43,2150,TRUE,FALSE
"T36",2018,"cafe_banana",10,"Mundo Novo",4214,351,0,68,27,1701,TRUE,FALSE
"T01",2019,"cafe_solteiro",17,"Mundo Novo",4104,0,0,33,4,1954,FALSE,FALSE
"T02",2019,"cafe_banana_inga",14,"Catuai Vermelho",3963,320,85,79,41,2264,FALSE,FALSE
"T03",2019,"cafe_banana",10,"Mundo Novo",4100,286,0,56,25,1689,TRUE,FALSE
"T04",2019,"cafe_banana",8,"Catuai Vermelho",4404,328,0,50,30,1538,FALSE,FALSE
"T05",2019,"cafe_solteiro",16,"Mundo Novo",4418,0,0,42,10,1624,TRUE,FALSE
"T06",2019,"cafe_banana",17,"Mundo Novo",4307,217,0,52,36,1824,TRUE,FALSE
"T07",2019,"cafe_solteiro",10,"Catuai Vermelho",3960,0,0,25,10,1913,TRUE,FALSE
"T08",2019,"cafe_solteiro",17,"Catuai Vermelho",4350,0,0,51,10,1641,TRUE,FALSE
"T09",2019,"cafe_banana",11,"Catuai Vermelho",4495,287,0,56,29,1569,TRUE,FALSE
"T10",2019,"cafe_inga",10,"Mundo Novo",4091,0,78,63,25,2020,TRUE,FALSE
"T11",2019,"cafe_inga",13,"Mundo Novo",4462,0,64,68,26,2056,TRUE,FALSE
"T12",2019,"cafe_solteiro",13,"Mundo Novo",4196,0,0,35,2,1857,TRUE,FALSE
"T13",2019,"cafe_banana",8,"Catuai Vermelho",3611,318,0,53,20,1997,TRUE,FALSE
"T14",2019,"cafe_banana",16,"Catuai Vermelho",4609,304,0,55,34,1796,TRUE,FALSE
"T15",2019,"cafe_solteiro",13,"Catuai Vermelho",3973,0,0,39,8,1807,TRUE,FALSE
"T16",2019,"cafe_inga",8,"Mundo Novo",3987,0,94,66,40,1982,FALSE,FALSE
"T17",2019,"cafe_banana_inga",14,"Mundo Novo",4124,371,76,85,46,2235,FALSE,FALSE
"T18",2019,"cafe_solteiro",17,"Catuai Vermelho",4200,0,0,40,21,1658,TRUE,FALSE
"T19",2019,"cafe_banana",8,"Catuai Vermelho",4170,265,0,51,29,2130,TRUE,FALSE
"T20",2019,"cafe_inga",15,"Catuai Vermelho",4115,0,64,63,31,1674,TRUE,FALSE
"T21",2019,"cafe_inga",10,"Catuai Vermelho",3975,0,65,66,32,1885,TRUE,FALSE
"T22",2019,"cafe_banana",12,"Arara",3869,317,0,44,15,1724,FALSE,FALSE
"T23",2019,"cafe_solteiro",7,"Mundo Novo",4275,0,0,28,11,1340,TRUE,FALSE
"T24",2019,"cafe_inga",9,"Arara",4589,0,69,63,34,1544,FALSE,FALSE
"T25",2019,"cafe_banana_inga",7,"Catuai Vermelho",4516,319,64,80,49,2539,TRUE,FALSE
"T26",2019,"cafe_banana_inga",7,"Mundo Novo",4451,232,73,70,39,2185,FALSE,FALSE
"T27",2019,"cafe_banana_inga",11,"Mundo Novo",4325,372,92,76,51,1961,TRUE,FALSE
"T28",2019,"cafe_solteiro",15,"Mundo Novo",4343,0,0,42,2,1798,TRUE,FALSE
"T29",2019,"cafe_banana_inga",14,"Catuai Vermelho",3999,299,83,81,46,2326,TRUE,FALSE
"T30",2019,"cafe_banana",17,"Mundo Novo",4411,299,0,49,35,1773,TRUE,FALSE
"T31",2019,"cafe_banana_inga",14,"Mundo Novo",4370,307,77,80,50,2231,TRUE,FALSE
"T32",2019,"cafe_inga",7,"Arara",4333,0,64,48,34,1638,FALSE,FALSE
"T33",2019,"cafe_inga",14,"Catuai Vermelho",3898,0,81,68,35,1869,TRUE,FALSE
"T34",2019,"cafe_inga",7,"Mundo Novo",4256,0,100,51,37,2091,FALSE,FALSE
"T35",2019,"cafe_banana_inga",17,"Mundo Novo",3997,307,89,60,58,1879,TRUE,FALSE
"T36",2019,"cafe_banana",14,"Mundo Novo",4384,298,0,67,31,1916,FALSE,FALSE
"T01",2020,"cafe_solteiro",12,"Catuai Vermelho",4471,0,0,25,3,1512,FALSE,FALSE
"T02",2020,"cafe_banana_inga",11,"Catuai Vermelho",4541,348,98,73,44,2018,TRUE,FALSE
"T03",2020,"cafe_banana",18,"Mundo Novo",3910,332,0,63,27,1741,FALSE,FALSE
"T04",2020,"cafe_banana",11,"Mundo Novo",3990,300,0,43,35,2021,TRUE,FALSE
"T05",2020,"cafe_solteiro",16,"Catuai Vermelho",4299,0,0,34,6,1674,FALSE,FALSE
"T06",2020,"cafe_banana",16,"Arara",4343,291,0,52,24,2003,TRUE,FALSE
"T07",2020,"cafe_solteiro",16,"Catuai Vermelho",4023,0,0,37,8,1884,TRUE,FALSE
"T08",2020,"cafe_solteiro",11,"Catuai Vermelho",4168,0,0,32,8,1668,TRUE,FALSE
"T09",2020,"cafe_banana",15,"Mundo Novo",4194,313,0,60,36,2286,TRUE,FALSE
"T10",2020,"cafe_inga",18,"Catuai Vermelho",4370,0,74,68,38,2027,TRUE,FALSE
"T11",2020,"cafe_inga",18,"Mundo Novo",4378,0,89,62,25,2021,FALSE,FALSE
"T12",2020,"cafe_solteiro",11,"Mundo Novo",4176,0,0,25,18,1913,FALSE,FALSE
"T13",2020,"cafe_banana",14,"Catuai Vermelho",4277,345,0,59,33,1729,TRUE,FALSE
"T14",2020,"cafe_banana",13,"Catuai Vermelho",4336,271,0,65,19,1904,TRUE,FALSE
"T15",2020,"cafe_solteiro",9,"Mundo Novo",3925,0,0,42,8,1747,TRUE,FALSE
"T16",2020,"cafe_inga",12,"Arara",4126,0,93,54,43,1668,TRUE,FALSE
"T17",2020,"cafe_banana_inga",11,"Catuai Vermelho",4144,243,84,94,57,2129,TRUE,FALSE
"T18",2020,"cafe_solteiro",16,"Catuai Vermelho",3943,0,0,38,14,2038,TRUE,FALSE
"T19",2020,"cafe_banana",13,"Arara",4394,360,0,45,29,2189,TRUE,FALSE
"T20",2020,"cafe_inga",14,"Mundo Novo",3972,0,95,62,44,1950,TRUE,FALSE
"T21",2020,"cafe_inga",11,"Catuai Vermelho",4405,0,83,62,38,2025,FALSE,FALSE
"T22",2020,"cafe_banana",15,"Catuai Vermelho",4199,262,0,35,32,1739,TRUE,FALSE
"T23",2020,"cafe_solteiro",16,"Catuai Vermelho",4524,0,0,48,14,1800,FALSE,FALSE
"T24",2020,"cafe_inga",18,"Arara",4329,0,65,71,34,1764,TRUE,FALSE
"T25",2020,"cafe_banana_inga",9,"Catuai Vermelho",4115,313,78,81,37,2024,TRUE,FALSE
"T26",2020,"cafe_banana_inga",16,"Arara",4455,315,90,77,49,2111,TRUE,FALSE
"T27",2020,"cafe_banana_inga",13,"Catuai Vermelho",4235,256,80,83,48,2388,TRUE,FALSE
"T28",2020,"cafe_solteiro",12,"Mundo Novo",4082,0,0,52,9,1476,TRUE,FALSE
"T29",2020,"cafe_banana_inga",14,"Catuai Vermelho",4122,262,80,78,44,2103,TRUE,FALSE
"T30",2020,"cafe_banana",17,"Catuai Vermelho",4125,387,0,63,22,2168,TRUE,FALSE
"T31",2020,"cafe_banana_inga",11,"Catuai Vermelho",4452,299,65,91,52,1985,FALSE,FALSE
"T32",2020,"cafe_inga",17,"Mundo Novo",4139,0,70,66,31,2306,TRUE,FALSE
"T33",2020,"cafe_inga",11,"Mundo Novo",4481,0,108,65,30,1603,TRUE,FALSE
"T34",2020,"cafe_inga",16,"Catuai Vermelho",4114,0,83,64,42,1925,FALSE,FALSE
"T35",2020,"cafe_banana_inga",9,"Catuai Vermelho",4033,301,79,79,45,2255,FALSE,FALSE
"T36",2020,"cafe_banana",18,"Mundo Novo",4532,355,0,48,26,1781,TRUE,FALSE
"T01",2021,"cafe_solteiro",10,"Catuai Vermelho",4026,0,0,36,4,1521,TRUE,FALSE
"T02",2021,"cafe_banana_inga",12,"Catuai Vermelho",3888,233,91,75,63,2049,TRUE,FALSE
"T03",2021,"cafe_banana",11,"Arara",4092,277,0,39,29,1942,TRUE,FALSE
"T04",2021,"cafe_banana",10,"Catuai Vermelho",4263,314,0,37,36,1911,TRUE,FALSE
"T05",2021,"cafe_solteiro",16,"Mundo Novo",3992,0,0,34,2,1815,TRUE,FALSE
"T06",2021,"cafe_banana",14,"Mundo Novo",4259,283,0,56,29,1657,TRUE,FALSE
"T07",2021,"cafe_solteiro",15,"Mundo Novo",4250,0,0,31,12,1413,TRUE,FALSE
"T08",2021,"cafe_solteiro",10,"Mundo Novo",4265,0,0,34,2,1855,FALSE,FALSE
"T09",2021,"cafe_banana",19,"Catuai Vermelho",4386,295,0,45,28,2045,TRUE,FALSE
"T10",2021,"cafe_inga",12,"Catuai Vermelho",4291,0,88,73,49,1683,FALSE,FALSE
"T11",2021,"cafe_inga",16,"Catuai Vermelho",4511,0,103,61,36,1980,TRUE,FALSE
"T12",2021,"cafe_solteiro",15,"Catuai Vermelho",4411,0,0,25,6,2169,TRUE,FALSE
"T13",2021,"cafe_banana",12,"Mundo Novo",4158,351,0,46,36,1669,FALSE,FALSE
"T14",2021,"cafe_banana",12,"Catuai Vermelho",4378,295,0,67,28,1859,FALSE,FALSE
"T15",2021,"cafe_solteiro",11,"Mundo Novo",4233,0,0,25,2,1597,TRUE,FALSE
"T16",2021,"cafe_inga",19,"Mundo Novo",4361,0,101,58,36,1701,FALSE,FALSE
"T17",2021,"cafe_banana_inga",10,"Catuai Vermelho",4381,314,72,76,45,2532,TRUE,FALSE
"T18",2021,"cafe_solteiro",9,"Mundo Novo",4165,0,0,42,4,1607,FALSE,FALSE
"T19",2021,"cafe_banana",9,"Arara",3914,309,0,46,37,1674,TRUE,FALSE
"T20",2021,"cafe_inga",13,"Mundo Novo",4358,0,93,61,32,1910,TRUE,FALSE
"T21",2021,"cafe_inga",11,"Catuai Vermelho",4151,0,85,47,37,1868,FALSE,FALSE
"T22",2021,"cafe_banana",14,"Mundo Novo",4300,292,0,51,38,1974,TRUE,FALSE
"T23",2021,"cafe_solteiro",18,"Catuai Vermelho",4358,0,0,39,13,1799,TRUE,FALSE
"T24",2021,"cafe_inga",9,"Catuai Vermelho",4351,0,74,68,38,2105,TRUE,FALSE
"T25",2021,"cafe_banana_inga",11,"Catuai Vermelho",4284,294,99,85,55,2074,TRUE,FALSE
"T26",2021,"cafe_banana_inga",14,"Catuai Vermelho",4423,371,82,80,51,2150,FALSE,FALSE
"T27",2021,"cafe_banana_inga",9,"Catuai Vermelho",4220,349,90,76,47,2390,TRUE,FALSE
"T28",2021,"cafe_solteiro",13,"Catuai Vermelho",3864,0,0,33,11,1630,TRUE,FALSE
"T29",2021,"cafe_banana_inga",10,"Mundo Novo",4136,290,84,72,48,1882,TRUE,FALSE
"T30",2021,"cafe_banana",10,"Catuai Vermelho",4164,347,0,50,32,2108,TRUE,FALSE
"T31",2021,"cafe_banana_inga",15,"Mundo Novo",4263,315,80,85,39,2294,TRUE,FALSE
"T32",2021,"cafe_inga",13,"Catuai Vermelho",3958,0,71,53,33,1701,TRUE,FALSE
"T33",2021,"cafe_inga",12,"Arara",3963,0,79,67,29,1643,FALSE,FALSE
"T34",2021,"cafe_inga",13,"Arara",4288,0,57,65,35,1880,TRUE,FALSE
"T35",2021,"cafe_banana_inga",11,"Arara",4060,323,88,72,51,1958,TRUE,FALSE
"T36",2021,"cafe_banana",9,"Catuai Vermelho",4155,345,0,63,34,1728,FALSE,FALSE
"T01",2022,"cafe_solteiro",13,"Mundo Novo",4339,0,0,34,8,1734,FALSE,FALSE
"T02",2022,"cafe_banana_inga",11,"Catuai Vermelho",4154,344,71,83,43,2359,TRUE,FALSE
"T03",2022,"cafe_banana",15,"Arara",4281,325,0,50,36,2017,TRUE,FALSE
"T04",2022,"cafe_banana",18,"Catuai Vermelho",4020,306,0,55,36,1583,TRUE,FALSE
"T05",2022,"cafe_solteiro",19,"Catuai Vermelho",4411,0,0,39,2,1870,TRUE,FALSE
"T06",2022,"cafe_banana",12,"Catuai Vermelho",4148,349,0,51,34,1627,TRUE,FALSE
"T07",2022,"cafe_solteiro",16,"Mundo Novo",4282,0,0,53,6,1272,FALSE,FALSE
"T08",2022,"cafe_solteiro",19,"Catuai Vermelho",4228,0,0,39,10,1646,TRUE,FALSE
"T09",2022,"cafe_banana",15,"Catuai Vermelho",4000,309,0,55,24,1777,TRUE,FALSE
"T10",2022,"cafe_inga",14,"Catuai Vermelho",4095,0,61,54,34,1767,TRUE,FALSE
"T11",2022,"cafe_inga",15,"Catuai Vermelho",4786,0,86,63,41,1901,FALSE,FALSE
"T12",2022,"cafe_solteiro",20,"Catuai Vermelho",4367,0,0,25,2,1675,TRUE,FALSE
"T13",2022,"cafe_banana",13,"Catuai Vermelho",4358,243,0,57,17,1951,TRUE,FALSE
"T14",2022,"cafe_banana",18,"Mundo Novo",3974,376,0,53,34,1966,TRUE,FALSE
"T15",2022,"cafe_solteiro",11,"Mundo Novo",3892,0,0,45,3,1678,TRUE,FALSE
"T16",2022,"cafe_inga",13,"Catuai Vermelho",4177,0,72,54,32,2216,FALSE,FALSE
"T17",2022,"cafe_banana_inga",10,"Arara",4122,328,55,95,53,2178,TRUE,FALSE
"T18",2022,"cafe_solteiro",16,"Catuai Vermelho",4463,0,0,40,18,1840,TRUE,FALSE
"T19",2022,"cafe_banana",17,"Mundo Novo",4097,303,0,56,24,1644,TRUE,FALSE
"T20",2022,"cafe_inga",13,"Catuai Vermelho",4183,0,81,67,40,1611,TRUE,FALSE
"T21",2022,"cafe_inga",17,"Catuai Vermelho",4412,0,74,64,37,2201,TRUE,FALSE
"T22",2022,"cafe_banana",17,"Catuai Vermelho",4240,330,0,65,27,2561,TRUE,FALSE
"T23",2022,"cafe_solteiro",13,"Mundo Novo",4076,0,0,27,10,1829,TRUE,FALSE
"T24",2022,"cafe_inga",20,"Catuai Vermelho",4397,0,99,53,30,1843,TRUE,FALSE
"T25",2022,"cafe_banana_inga",19,"Catuai Vermelho",4102,310,95,75,50,1779,TRUE,FALSE
"T26",2022,"cafe_banana_inga",18,"Mundo Novo",4530,240,62,94,43,1832,TRUE,FALSE
"T27",2022,"cafe_banana_inga",18,"Mundo Novo",4100,300,91,80,49,2326,FALSE,FALSE
"T28",2022,"cafe_solteiro",14,"Mundo Novo",4123,0,0,36,2,1623,TRUE,FALSE
"T29",2022,"cafe_banana_inga",20,"Mundo Novo",4193,330,86,78,50,2021,TRUE,FALSE
"T30",2022,"cafe_banana",17,"Arara",4317,312,0,53,28,1775,FALSE,FALSE
"T31",2022,"cafe_banana_inga",20,"Catuai Vermelho",4368,239,55,78,42,2361,TRUE,FALSE
"T32",2022,"cafe_inga",16,"Catuai Vermelho",4315,0,75,62,42,2254,TRUE,FALSE
"T33",2022,"cafe_inga",15,"Arara",4481,0,91,79,46,2083,TRUE,FALSE
"T34",2022,"cafe_inga",10,"Catuai Vermelho",4212,0,89,66,27,2309,FALSE,FALSE
"T35",2022,"cafe_banana_inga",15,"Mundo Novo",4470,325,83,71,41,2273,FALSE,FALSE
"T36",2022,"cafe_banana",16,"Catuai Vermelho",4209,289,0,72,25,1685,FALSE,FALSE
"T01",2023,"cafe_solteiro",13,"Catuai Vermelho",4216,0,0,47,10,1432,TRUE,FALSE
"T02",2023,"cafe_banana_inga",18,"Catuai Vermelho",4192,281,75,80,48,1935,FALSE,FALSE
"T03",2023,"cafe_banana",13,"Arara",4171,332,0,67,19,1989,TRUE,FALSE
"T04",2023,"cafe_banana",16,"Arara",4177,298,0,51,31,1559,TRUE,FALSE
"T05",2023,"cafe_solteiro",20,"Catuai Vermelho",4388,0,0,41,13,1788,TRUE,FALSE
"T06",2023,"cafe_banana",18,"Catuai Vermelho",4343,354,0,51,24,2003,TRUE,FALSE
"T07",2023,"cafe_solteiro",18,"Catuai Vermelho",4383,0,0,28,14,1962,TRUE,FALSE
"T08",2023,"cafe_solteiro",12,"Catuai Vermelho",4160,0,0,35,6,2006,TRUE,FALSE
"T09",2023,"cafe_banana",20,"Catuai Vermelho",3924,284,0,55,19,1943,TRUE,FALSE
"T10",2023,"cafe_inga",16,"Catuai Vermelho",4531,0,100,58,33,2167,FALSE,FALSE
"T11",2023,"cafe_inga",19,"Catuai Vermelho",3994,0,75,56,25,1705,TRUE,FALSE
"T12",2023,"cafe_solteiro",13,"Catuai Vermelho",4376,0,0,32,4,1538,TRUE,FALSE
"T13",2023,"cafe_banana",18,"Catuai Vermelho",4348,253,0,55,28,2121,TRUE,FALSE
"T14",2023,"cafe_banana",15,"Mundo Novo",4063,364,0,60,21,1972,TRUE,FALSE
